station_observations
time, ONE_DAY_PRECIPITATION, MAX_TEMP, MIN_TEMP
2010-01-02 00:00:00, None, 2.6, 0.3
2010-01-03 00:00:00, None, 4.4, -0.1
2010-01-04 00:00:00, None, 2.2, -0.2
2010-01-05 00:00:00, None, 5.0, None
2010-01-06 00:00:00, None, -2.7, -7.5
2010-01-07 00:00:00, None, -0.1, -7.3
2010-01-08 00:00:00, None, 4.4, -0.6
2010-01-09 00:00:00, None, 5.3, 1.3
2010-01-10 00:00:00, None, 6.7, 1.9
2010-01-11 00:00:00, None, 5.0, 1.3
2010-01-13 00:00:00, None, 3.1, 0.7
2010-01-14 00:00:00, None, 3.7, -0.3
2010-01-15 00:00:00, None, 2.2, -0.5
2010-01-16 00:00:00, None, 2.6, -4.8
2010-01-17 00:00:00, None, 2.9, -2.7
2010-01-18 00:00:00, None, 3.9, -0.9
2010-01-19 00:00:00, None, 3.2, -1.2
2010-01-20 00:00:00, None, 3.8, -0.3
2010-01-21 00:00:00, None, 4.6, 0.1
2010-01-22 00:00:00, None, 8.1, -1.5
2010-01-23 00:00:00, None, 5.3, -3.8
2010-01-24 00:00:00, None, 0.2, -4.1
2010-01-25 00:00:00, None, 1.2, -2.3
2010-01-26 00:00:00, None, 5.9, -0.7
2010-01-27 00:00:00, None, 4.6, -2.7
2010-01-28 00:00:00, None, 2.5, -1.1
2010-01-29 00:00:00, None, 5.8, -0.1
2010-01-30 00:00:00, None, 3.4, 1.1
2010-01-31 00:00:00, None, 3.4, 0.9
2010-02-01 00:00:00, None, 3.8, 0.1
2010-02-02 00:00:00, None, 3.5, -0.8
2010-02-03 00:00:00, None, 6.0, -1.1
2010-02-04 00:00:00, None, 7.7, -0.1
2010-02-05 00:00:00, None, 4.8, -0.7
2010-02-06 00:00:00, None, 8.1, -2.5
2010-02-07 00:00:00, None, 4.1, 0.4
2010-02-08 00:00:00, None, 6.8, -0.9
2010-02-09 00:00:00, None, 6.0, -3.9
2010-02-10 00:00:00, None, 1.6, -0.8
2010-02-11 00:00:00, None, 1.8, -0.1
2010-02-12 00:00:00, None, 5.1, 0.0
2010-02-13 00:00:00, None, 4.5, 0.0
2010-02-14 00:00:00, None, 5.7, -1.1
2010-02-15 00:00:00, None, 3.5, -3.4
2010-02-16 00:00:00, None, 4.6, -0.1
2010-02-17 00:00:00, None, 9.5, -2.5
2010-02-18 00:00:00, None, 11.2, -3.8
2010-02-19 00:00:00, None, 13.2, -1.7
2010-02-20 00:00:00, None, 13.6, -1.8
2010-02-21 00:00:00, None, 9.8, -2.4
2010-02-22 00:00:00, None, 10.9, -2.5
2010-02-23 00:00:00, None, 4.7, -1.6
2010-02-24 00:00:00, None, 3.3, -0.4
2010-02-25 00:00:00, None, 4.1, -0.3
2010-02-26 00:00:00, None, 1.7, -0.3
2010-02-27 00:00:00, None, 5.4, 0.0
2010-02-28 00:00:00, None, 7.0, -0.1
2010-03-01 00:00:00, None, 10.1, 0.0
2010-03-02 00:00:00, None, 7.0, 1.0
2010-03-03 00:00:00, None, 9.1, -0.6
2010-03-04 00:00:00, None, 7.0, -0.7
2010-03-05 00:00:00, None, 9.6, -1.3
2010-03-06 00:00:00, None, 11.8, -2.2
2010-03-07 00:00:00, None, 4.0, -1.3
2010-03-08 00:00:00, None, 4.6, -6.5
2010-03-09 00:00:00, None, -0.4, -8.8
2010-03-10 00:00:00, None, 1.4, -3.7
2010-03-11 00:00:00, None, 1.5, -2.2
2010-03-12 00:00:00, None, 1.1, -3.3
2010-03-13 00:00:00, None, 2.0, -4.0
2010-03-14 00:00:00, None, 3.1, -2.5
2010-03-15 00:00:00, None, 7.6, -0.2
2010-03-16 00:00:00, None, 5.4, 1.1
2010-03-17 00:00:00, None, 5.5, -2.1
2010-03-18 00:00:00, None, 8.5, -5.1
2010-03-19 00:00:00, None, 11.8, -4.0
2010-03-20 00:00:00, None, 12.3, -2.7
2010-03-21 00:00:00, None, 5.1, 1.3
2010-03-22 00:00:00, None, 5.5, 0.5
2010-03-23 00:00:00, None, 8.0, -0.2
2010-03-24 00:00:00, None, 14.1, -0.4
2010-03-25 00:00:00, None, 6.1, 1.6
2010-03-26 00:00:00, None, 6.5, 1.1
2010-03-27 00:00:00, None, 9.4, 0.2
2010-03-28 00:00:00, None, 7.2, 0.0
2010-03-29 00:00:00, None, 1.7, -0.9
2010-03-30 00:00:00, None, 2.0, -1.5
2010-03-31 00:00:00, None, 6.4, -2.1
2010-04-01 00:00:00, None, 2.0, -2.2
2010-04-02 00:00:00, None, 2.1, -1.2
2010-04-03 00:00:00, None, 1.9, -1.9
2010-04-04 00:00:00, None, 8.6, -2.9
2010-04-05 00:00:00, None, 4.3, -0.2
2010-04-06 00:00:00, None, 4.3, -0.8
2010-04-07 00:00:00, None, 1.7, -0.5
2010-04-08 00:00:00, None, 2.8, -2.6
2010-04-09 00:00:00, None, 4.4, -5.7
2010-04-10 00:00:00, None, 8.1, -7.8
2010-04-11 00:00:00, None, 10.8, -4.2
2010-04-12 00:00:00, None, 14.5, -1.3
2010-04-13 00:00:00, None, 7.5, 0.6
2010-04-14 00:00:00, None, 14.8, 0.6
