station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP
None, None, None, 2010-04-30 00:00:00, 8.5, 12.8
None, None, None, 2010-05-01 00:00:00, 7.9, 12.3
None, None, None, 2010-05-02 00:00:00, 6.8, 11.9
None, None, None, 2010-05-03 00:00:00, 6.8, 10.9
None, None, None, 2010-05-04 00:00:00, 6.9, 10.5
None, None, None, 2010-05-05 00:00:00, 5.5, 12.2
None, None, None, 2010-05-06 00:00:00, 7.1, 12.1
None, None, None, 2010-05-07 00:00:00, 7.9, 14.5
None, None, None, 2010-05-08 00:00:00, 8.7, 15.0
None, None, None, 2010-05-09 00:00:00, 8.9, 15.2
None, None, None, 2010-05-10 00:00:00, 10.0, 15.0
None, None, None, 2010-05-12 00:00:00, 9.2, 14.7
None, None, None, 2010-05-13 00:00:00, 9.5, 16.2
None, None, None, 2010-05-14 00:00:00, 11.0, 19.0
None, None, None, 2010-05-15 00:00:00, 11.2, 15.9
None, None, None, 2010-05-16 00:00:00, 11.6, 17.1
None, None, None, 2010-05-17 00:00:00, 13.4, 17.1
None, None, None, 2010-05-18 00:00:00, 11.1, 15.2
None, None, None, 2010-05-19 00:00:00, 11.5, 16.4
None, None, None, 2010-05-20 00:00:00, 8.5, 12.0
None, None, None, 2010-05-21 00:00:00, 8.0, 11.9
None, None, None, 2010-05-22 00:00:00, 9.6, 11.8
None, None, None, 2010-05-23 00:00:00, 9.5, 12.7
None, None, None, 2010-05-24 00:00:00, 9.8, 14.5
None, None, None, 2010-05-25 00:00:00, 11.6, 14.9
None, None, None, 2010-05-26 00:00:00, 11.4, 14.5
None, None, None, 2010-05-27 00:00:00, 10.9, 15.2
None, None, None, 2010-05-28 00:00:00, 10.9, 12.1
None, None, None, 2010-05-29 00:00:00, 10.4, 12.9
None, None, None, 2010-05-30 00:00:00, 10.0, 12.4
None, None, None, 2010-05-31 00:00:00, 11.0, 15.8
None, None, None, 2010-06-01 00:00:00, 11.0, 14.5
None, None, None, 2010-06-02 00:00:00, 11.3, 16.1
None, None, None, 2010-06-03 00:00:00, 10.5, 16.1
None, None, None, 2010-06-04 00:00:00, 11.2, 14.9
None, None, None, 2010-06-05 00:00:00, 10.7, 15.4
None, None, None, 2010-06-06 00:00:00, 12.3, 15.1
None, None, None, 2010-06-07 00:00:00, 12.9, 17.5
None, None, None, 2010-06-08 00:00:00, 11.8, 16.4
None, None, None, 2010-06-09 00:00:00, 11.6, 16.2
None, None, None, 2010-06-11 00:00:00, 13.0, 15.4
None, None, None, 2010-06-12 00:00:00, 11.9, 21.1
None, None, None, 2010-06-13 00:00:00, 13.0, 17.5
None, None, None, 2010-06-14 00:00:00, 12.1, 16.8
None, None, None, 2010-06-15 00:00:00, 10.1, 14.7
None, None, None, 2010-06-16 00:00:00, 11.2, 15.5
None, None, None, 2010-06-17 00:00:00, 12.2, 14.4
None, None, None, 2010-06-18 00:00:00, 12.1, 16.2
None, None, None, 2010-06-19 00:00:00, 12.8, 16.3
None, None, None, 2010-06-20 00:00:00, 12.6, 14.6
None, None, None, 2010-06-21 00:00:00, 11.8, 15.0
None, None, None, 2010-06-22 00:00:00, 12.9, 17.6
None, None, None, 2010-06-23 00:00:00, 15.2, 21.6
None, None, None, 2010-06-24 00:00:00, 14.1, 18.5
None, None, None, 2010-06-25 00:00:00, 13.0, 18.5
None, None, None, 2010-06-26 00:00:00, 11.6, 15.6
None, None, None, 2010-06-27 00:00:00, 12.7, 15.7
None, None, None, 2010-06-28 00:00:00, 12.9, 15.5
None, None, None, 2010-06-29 00:00:00, 12.7, 16.2
None, None, None, 2010-06-30 00:00:00, 12.6, 16.0
None, None, None, 2010-07-01 00:00:00, 11.8, 16.3
None, None, None, 2010-07-02 00:00:00, 13.0, 16.9
None, None, None, 2010-07-03 00:00:00, 12.6, 19.0
None, None, None, 2010-07-04 00:00:00, 12.6, 17.9
None, None, None, 2010-07-05 00:00:00, 13.7, 17.0
None, None, None, 2010-07-06 00:00:00, 13.7, 20.7
None, None, None, 2010-07-07 00:00:00, 17.2, 23.0
None, None, None, 2010-07-08 00:00:00, 18.3, 26.3
None, None, None, 2010-07-09 00:00:00, 18.1, 26.3
None, None, None, 2010-07-10 00:00:00, 17.7, 22.3
None, None, None, 2010-07-11 00:00:00, 14.8, 19.1
None, None, None, 2010-07-12 00:00:00, 14.3, 18.0
None, None, None, 2010-07-13 00:00:00, 13.7, 18.5
None, None, None, 2010-07-14 00:00:00, 14.3, 23.3
None, None, None, 2010-07-15 00:00:00, 14.2, 19.2
None, None, None, 2010-07-16 00:00:00, 15.2, 19.9
None, None, None, 2010-07-17 00:00:00, 14.2, 19.6
None, None, None, 2010-07-18 00:00:00, 14.0, 19.0
None, None, None, 2010-07-19 00:00:00, 13.7, 18.9
None, None, None, 2010-07-20 00:00:00, 14.4, 20.9
None, None, None, 2010-07-21 00:00:00, 15.4, 21.3
None, None, None, 2010-07-22 00:00:00, 15.6, 19.2
None, None, None, 2010-07-23 00:00:00, 13.9, 20.5
None, None, None, 2010-07-24 00:00:00, 15.9, 22.0
None, None, None, 2010-07-25 00:00:00, 15.4, 21.3
None, None, None, 2010-07-26 00:00:00, 15.3, 21.4
None, None, None, 2010-07-27 00:00:00, 15.2, 20.4
None, None, None, 2010-07-28 00:00:00, 14.6, 20.2
None, None, None, 2010-07-29 00:00:00, 13.7, 19.6
None, None, None, 2010-07-30 00:00:00, 15.6, 21.3
None, None, None, 2010-07-31 00:00:00, 16.4, 18.8
None, None, None, 2010-08-01 00:00:00, 14.0, 17.7
None, None, None, 2010-08-02 00:00:00, 16.6, 20.5
None, None, None, 2010-08-03 00:00:00, 16.5, 22.2
None, None, None, 2010-08-04 00:00:00, 17.7, 24.5
None, None, None, 2010-08-05 00:00:00, 18.4, 24.8
None, None, None, 2010-08-06 00:00:00, 15.4, 18.5
None, None, None, 2010-08-07 00:00:00, 14.3, 16.8
None, None, None, 2010-08-08 00:00:00, 15.8, 20.8
None, None, None, 2010-08-09 00:00:00, 14.9, 17.2
None, None, None, 2010-08-10 00:00:00, 14.0, 20.9
None, None, None, 2010-08-11 00:00:00, 14.3, 20.3
None, None, None, 2010-08-12 00:00:00, 15.8, 19.4
None, None, None, 2010-08-13 00:00:00, 17.2, 23.0
None, None, None, 2010-08-14 00:00:00, 19.2, 24.9
None, None, None, 2010-08-15 00:00:00, 19.2, 25.4
None, None, None, 2010-08-16 00:00:00, 18.0, 25.8
None, None, None, 2010-08-17 00:00:00, 16.8, 25.9
None, None, None, 2010-08-18 00:00:00, 14.3, 18.9
None, None, None, 2010-08-19 00:00:00, 14.4, 17.8
None, None, None, 2010-08-20 00:00:00, 12.5, 16.9
None, None, None, 2010-08-21 00:00:00, 13.8, 19.5
None, None, None, 2010-08-22 00:00:00, 15.6, 18.9
None, None, None, 2010-08-23 00:00:00, 13.0, 18.4
None, None, None, 2010-08-24 00:00:00, 16.4, 19.6
None, None, None, 2010-08-25 00:00:00, 16.0, 24.2
None, None, None, 2010-08-26 00:00:00, 15.9, 18.3
None, None, None, 2010-08-27 00:00:00, 15.1, 18.6
None, None, None, 2010-08-28 00:00:00, 13.9, 18.2
None, None, None, 2010-08-29 00:00:00, 13.2, 17.7
None, None, None, 2010-08-30 00:00:00, 13.1, 18.8
None, None, None, 2010-08-31 00:00:00, 11.9, 17.5
None, None, None, 2010-09-01 00:00:00, 13.6, 19.6
None, None, None, 2010-09-02 00:00:00, 13.3, 18.0
None, None, None, 2010-09-03 00:00:00, 15.7, 23.4
None, None, None, 2010-09-04 00:00:00, 14.2, 18.0
None, None, None, 2010-09-05 00:00:00, 13.2, 18.0
