station_observations
time, ONE_DAY_PRECIPITATION, MAX_TEMP, MIN_TEMP
2010-06-04 00:00:00, 0.3, 17.3, 4.8
2010-06-07 00:00:00, 3.3, 16.2, 8.8
2010-06-08 00:00:00, 0.5, 19.7, 6.7
2010-06-09 00:00:00, 0.3, 18.8, 5.3
2010-06-11 00:00:00, 0.0, 24.9, 4.2
2010-06-12 00:00:00, 0.0, 28.0, 5.3
2010-06-13 00:00:00, 0.0, 18.8, 7.5
2010-06-14 00:00:00, 0.0, 16.0, 3.2
2010-06-15 00:00:00, 0.0, 19.2, -1.0
2010-06-16 00:00:00, 0.0, 24.2, 0.2
2010-06-17 00:00:00, 0.0, 24.4, 3.3
2010-06-18 00:00:00, 0.0, 25.8, 2.7
2010-06-19 00:00:00, 0.0, 28.2, 4.3
2010-06-20 00:00:00, 0.0, 27.9, 6.8
2010-06-21 00:00:00, 0.0, 23.9, 7.2
2010-06-22 00:00:00, 0.0, 24.3, 7.7
2010-06-23 00:00:00, 5.0, 22.1, 11.7
2010-06-24 00:00:00, 4.4, 19.9, 12.9
2010-06-25 00:00:00, 1.0, 20.6, 10.7
2010-06-26 00:00:00, 0.0, 24.6, 3.6
2010-06-27 00:00:00, None, 21.5, None
2010-06-28 00:00:00, 0.3, 23.0, 8.6
2010-06-29 00:00:00, 0.0, 17.7, 3.7
2010-06-30 00:00:00, 0.3, 16.4, 7.2
2010-07-02 00:00:00, 0.0, 20.1, 0.5
2010-07-03 00:00:00, 0.0, 21.4, 6.8
2010-07-04 00:00:00, 15.1, 19.3, 10.6
2010-07-05 00:00:00, 0.0, 21.6, 8.7
2010-07-06 00:00:00, 0.0, 25.4, 3.9
2010-07-07 00:00:00, 0.0, 29.9, 7.5
2010-07-08 00:00:00, 0.0, 32.4, 8.7
2010-07-09 00:00:00, 0.0, 29.4, 10.0
2010-07-10 00:00:00, 1.5, 25.8, 14.7
2010-07-11 00:00:00, 0.3, 28.7, 14.1
2010-07-12 00:00:00, 0.0, 18.4, 9.5
2010-07-13 00:00:00, 0.0, 22.9, 8.6
2010-07-14 00:00:00, 0.0, None, None
2010-07-15 00:00:00, 0.0, 22.3, 7.4
2010-07-16 00:00:00, 0.0, 23.0, 2.5
2010-07-17 00:00:00, 0.0, 27.3, 2.9
2010-07-19 00:00:00, 0.0, 26.9, 4.9
2010-07-20 00:00:00, 0.0, 29.2, 10.4
2010-07-21 00:00:00, 1.3, 31.0, 8.0
2010-07-22 00:00:00, 1.1, 18.0, 12.7
2010-07-23 00:00:00, 0.0, 28.8, 5.7
2010-07-24 00:00:00, 0.0, 26.4, 7.9
2010-07-25 00:00:00, 0.0, 25.9, 5.2
2010-07-26 00:00:00, 0.0, 28.3, 5.7
2010-07-27 00:00:00, 0.0, 32.0, 7.1
2010-07-28 00:00:00, 0.0, 32.2, 12.0
2010-07-29 00:00:00, 0.0, 28.0, 10.4
2010-07-30 00:00:00, 0.0, 28.6, 9.1
2010-07-31 00:00:00, 0.0, 30.6, 7.2
2010-08-01 00:00:00, 1.5, 27.9, 9.1
2010-08-02 00:00:00, 0.0, 29.2, 12.0
2010-08-03 00:00:00, 0.0, 30.5, 8.2
2010-08-04 00:00:00, 0.0, 28.9, 9.4
2010-08-05 00:00:00, 0.0, 27.1, 13.5
2010-08-06 00:00:00, 8.5, 26.9, 14.5
2010-08-07 00:00:00, 8.8, 23.3, 14.8
2010-08-08 00:00:00, 0.0, 22.0, 11.8
2010-08-09 00:00:00, 3.0, 20.0, 10.7
2010-08-10 00:00:00, 0.0, 25.2, 6.2
2010-08-11 00:00:00, 0.0, 27.4, 9.6
2010-08-12 00:00:00, 0.0, 26.9, 7.1
2010-08-13 00:00:00, 0.0, 27.5, 9.0
2010-08-14 00:00:00, 0.0, 30.4, 7.6
2010-08-15 00:00:00, 0.0, 31.8, 7.3
2010-08-16 00:00:00, 0.0, 28.8, 8.4
2010-08-17 00:00:00, 0.0, 27.2, 9.0
2010-08-18 00:00:00, 0.3, 28.9, 7.7
2010-08-19 00:00:00, 0.0, 18.6, 6.3
2010-08-20 00:00:00, 0.0, 17.7, 6.2
2010-08-21 00:00:00, 0.3, 20.4, 8.5
2010-08-22 00:00:00, 5.1, 17.5, 7.5
2010-08-23 00:00:00, 5.8, 21.3, 1.9
2010-08-24 00:00:00, 1.5, 22.4, 10.9
2010-08-25 00:00:00, 0.0, 27.4, 11.6
2010-08-26 00:00:00, 10.1, 16.4, 9.0
2010-08-27 00:00:00, 0.8, 17.9, 6.5
2010-08-28 00:00:00, 0.3, 17.3, 4.6
2010-08-29 00:00:00, 0.0, 19.1, 3.5
2010-08-30 00:00:00, 3.8, 18.7, 3.0
2010-08-31 00:00:00, 22.6, 15.9, 8.6
2010-09-01 00:00:00, 0.0, 18.4, 8.0
2010-09-02 00:00:00, 0.3, 24.2, 7.0
2010-09-03 00:00:00, 2.5, 26.6, 9.8
2010-09-04 00:00:00, 0.6, 15.7, 4.5
2010-09-05 00:00:00, 1.6, 13.4, 7.3
2010-09-06 00:00:00, 5.8, 12.3, 7.4
2010-09-07 00:00:00, 0.0, 17.4, 6.3
2010-09-08 00:00:00, 0.0, 18.4, 7.9
2010-09-09 00:00:00, 0.0, 16.7, 3.4
2010-09-10 00:00:00, 0.8, 16.0, 8.0
2010-09-11 00:00:00, 4.3, 16.8, 6.4
2010-09-13 00:00:00, 0.0, 14.3, 4.1
2010-09-14 00:00:00, 0.0, 15.1, 2.7
2010-09-15 00:00:00, 0.0, 14.8, 5.8
2010-09-16 00:00:00, 0.0, 18.3, 4.6
2010-09-17 00:00:00, 0.0, 16.1, -0.8
2010-09-19 00:00:00, None, 8.5, None
2010-09-20 00:00:00, 6.1, 8.0, 3.5
2010-09-21 00:00:00, 0.0, 12.2, -0.9
2010-09-22 00:00:00, 0.0, 15.1, -1.5
2010-09-23 00:00:00, 0.0, 15.0, 0.4
2010-09-27 00:00:00, 1.3, None, None
2010-09-28 00:00:00, 0.0, 20.2, 6.1
2010-09-29 00:00:00, 0.0, 13.5, -0.3
2010-10-01 00:00:00, 0.0, 23.4, 2.3
2010-10-02 00:00:00, 0.0, 17.4, 4.5
2010-10-03 00:00:00, 0.0, 15.8, 3.5
2010-10-04 00:00:00, 7.6, 11.5, 1.5
2010-10-05 00:00:00, 0.0, 11.1, 1.9
2010-10-06 00:00:00, 0.0, 17.0, 6.4
2010-10-07 00:00:00, 0.0, 21.2, 1.5
2010-10-08 00:00:00, 0.0, 19.8, 4.0
2010-10-09 00:00:00, 0.0, 19.2, 13.8
2010-10-10 00:00:00, 0.0, 17.4, 3.6
2010-10-11 00:00:00, 0.0, 12.1, 0.1
2010-10-12 00:00:00, 0.0, 13.3, 7.5
2010-10-13 00:00:00, 0.0, 18.2, 8.3
2010-10-14 00:00:00, 0.0, 13.9, 4.4
2010-10-15 00:00:00, 0.0, 10.1, -2.3
2010-10-16 00:00:00, 0.0, 10.1, -4.7
2010-10-17 00:00:00, 0.0, 11.1, -5.7
2010-10-18 00:00:00, 0.3, 11.7, 6.1
2010-10-19 00:00:00, 4.1, 10.6, 5.9
2010-10-20 00:00:00, 0.6, 15.8, 6.1
2010-10-21 00:00:00, 0.0, 12.0, 0.2
2010-10-22 00:00:00, 0.0, 13.5, 3.1
2010-10-23 00:00:00, 0.0, 10.4, 0.6
