station_observations
time, MAX_TEMP, MIN_TEMP
2010-01-28 00:00:00, 2.7, -1.3
2010-01-29 00:00:00, 6.3, 1.5
2010-01-30 00:00:00, 1.7, -0.1
2010-01-31 00:00:00, 1.9, -0.2
2010-02-01 00:00:00, 0.9, -1.7
2010-02-02 00:00:00, 4.4, -1.1
2010-02-03 00:00:00, 2.6, -0.9
2010-02-04 00:00:00, 3.8, -0.6
2010-02-05 00:00:00, 2.9, -0.3
2010-02-06 00:00:00, 7.1, 0.6
2010-02-07 00:00:00, 1.9, -1.4
2010-02-08 00:00:00, 3.1, -1.5
2010-02-09 00:00:00, 5.7, -2.6
2010-02-10 00:00:00, -1.4, -2.6
2010-02-11 00:00:00, 2.8, -1.7
2010-02-12 00:00:00, 2.6, -1.2
2010-02-13 00:00:00, 3.2, -0.3
2010-02-14 00:00:00, 3.8, -1.5
2010-02-15 00:00:00, 2.5, -1.8
2010-02-16 00:00:00, 3.4, -2.1
2010-02-17 00:00:00, 6.7, -2.8
2010-02-18 00:00:00, 9.9, 0.8
2010-02-19 00:00:00, 10.0, 2.0
2010-02-20 00:00:00, 8.4, 0.2
2010-02-21 00:00:00, 6.2, -1.0
2010-02-22 00:00:00, 8.9, 0.2
2010-02-23 00:00:00, 2.6, -1.7
2010-02-24 00:00:00, 0.0, -2.1
2010-02-25 00:00:00, 1.7, -0.8
2010-02-26 00:00:00, 2.0, -0.7
2010-02-27 00:00:00, 1.7, -0.1
2010-02-28 00:00:00, 3.2, 0.0
2010-03-01 00:00:00, 6.8, 1.4
2010-03-02 00:00:00, 4.6, 1.0
2010-03-03 00:00:00, 8.6, -0.5
2010-03-04 00:00:00, 2.9, -1.9
2010-03-05 00:00:00, 7.0, -1.7
2010-03-06 00:00:00, 9.7, 0.5
2010-03-07 00:00:00, 1.6, -3.4
2010-03-08 00:00:00, 0.6, -7.3
2010-03-09 00:00:00, -2.7, -6.8
2010-03-10 00:00:00, -0.7, -5.2
2010-03-11 00:00:00, -0.8, -4.4
2010-03-12 00:00:00, -0.1, -3.1
2010-03-13 00:00:00, -1.2, -4.7
2010-03-14 00:00:00, -1.0, -4.7
2010-03-15 00:00:00, 5.8, -1.2
2010-03-16 00:00:00, 5.2, -0.4
2010-03-17 00:00:00, 3.8, -2.7
2010-03-18 00:00:00, 4.4, -4.3
2010-03-19 00:00:00, 8.4, -0.9
2010-03-20 00:00:00, 9.7, 2.2
2010-03-21 00:00:00, 2.2, -1.1
2010-03-22 00:00:00, 3.2, -2.5
2010-03-23 00:00:00, 4.1, -1.5
2010-03-24 00:00:00, 11.4, 1.1
2010-03-25 00:00:00, 6.2, -0.1
2010-03-26 00:00:00, 4.8, -1.3
2010-03-27 00:00:00, 6.4, -1.8
2010-03-28 00:00:00, 4.7, -0.3
2010-03-29 00:00:00, -0.1, -2.7
2010-03-30 00:00:00, 0.0, -3.1
2010-03-31 00:00:00, 0.9, -4.2
2010-04-01 00:00:00, -0.8, -4.6
2010-04-02 00:00:00, -0.9, -3.7
2010-04-03 00:00:00, -0.1, -4.7
2010-04-04 00:00:00, 1.7, -3.9
2010-04-05 00:00:00, 2.5, -2.5
2010-04-06 00:00:00, 2.4, -2.3
2010-04-07 00:00:00, -0.1, -2.4
