station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, SNOW_ON_THE_GROUND, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP
50.6, None, 108.0, None, 2010-01-01 00:00:00, 0.8, 3.0
18.2, 0.0, 100.0, None, 2010-01-02 00:00:00, 0.3, 1.5
None, None, 100.0, None, 2010-01-03 00:00:00, -0.7, 2.6
None, None, 100.0, None, 2010-01-04 00:00:00, -0.1, 3.9
0.0, None, 98.0, None, 2010-01-05 00:00:00, -1.1, 3.6
0.0, None, 97.0, None, 2010-01-06 00:00:00, -2.5, 3.7
None, None, 97.0, None, 2010-01-07 00:00:00, -1.0, 6.1
38.1, None, 96.0, None, 2010-01-08 00:00:00, 1.7, 5.8
13.2, None, 92.0, None, 2010-01-09 00:00:00, 2.5, 4.6
2.8, None, 87.0, None, 2010-01-10 00:00:00, 3.6, 6.7
105.0, None, 82.0, None, 2010-01-11 00:00:00, 4.0, 5.8
None, None, 73.0, None, 2010-01-12 00:00:00, 3.2, 4.3
19.3, None, 69.0, None, 2010-01-13 00:00:00, 2.2, 4.2
68.6, None, 69.0, None, 2010-01-14 00:00:00, -0.1, 2.7
87.1, None, 81.0, None, 2010-01-15 00:00:00, -1.6, 2.0
0.0, None, 87.0, None, 2010-01-16 00:00:00, -2.6, 1.9
39.3, None, 88.0, None, 2010-01-17 00:00:00, 0.1, 4.2
13.6, None, 87.0, None, 2010-01-18 00:00:00, 0.9, 3.9
0.0, None, 87.0, None, 2010-01-19 00:00:00, 2.2, 6.4
0.3, None, 85.0, None, 2010-01-20 00:00:00, 2.5, 5.1
0.0, None, 84.0, None, 2010-01-21 00:00:00, 2.5, 5.3
0.0, None, 84.0, None, 2010-01-22 00:00:00, 0.2, 6.2
0.0, None, 84.0, None, 2010-01-23 00:00:00, -1.8, 2.6
3.4, 0.0, 84.0, None, 2010-01-24 00:00:00, -0.7, 3.1
38.7, 0.0, 89.0, None, 2010-01-25 00:00:00, -0.2, 1.6
0.0, None, 93.0, None, 2010-01-26 00:00:00, -0.2, 2.7
