station_observations
time, MAX_TEMP, MIN_TEMP
2010-01-02 00:00:00, 7.6, 4.4
2010-01-03 00:00:00, 8.8, 4.6
2010-01-04 00:00:00, 6.3, 5.1
2010-01-05 00:00:00, 8.2, 3.6
2010-01-06 00:00:00, 7.6, 0.1
2010-01-09 00:00:00, 10.9, 7.5
2010-01-10 00:00:00, 11.9, 6.6
2010-01-11 00:00:00, 13.1, 9.4
2010-01-13 00:00:00, 10.5, 7.5
2010-01-19 00:00:00, 14.1, 5.8
2010-01-20 00:00:00, 11.1, 6.9
2010-01-21 00:00:00, 12.1, 5.4
2010-01-22 00:00:00, 14.0, 3.3
2010-01-23 00:00:00, 8.6, 2.3
2010-01-24 00:00:00, 8.9, 3.4
2010-01-25 00:00:00, 9.1, 5.0
2010-01-26 00:00:00, 11.8, 3.6
2010-01-27 00:00:00, 9.3, 3.4
2010-01-28 00:00:00, 9.1, 5.9
2010-01-29 00:00:00, 12.9, 6.4
2010-01-30 00:00:00, 8.8, 6.9
2010-01-31 00:00:00, 9.3, 6.7
2010-02-01 00:00:00, 8.7, 4.9
2010-02-02 00:00:00, 9.2, 5.3
2010-02-03 00:00:00, 9.6, 3.2
2010-02-04 00:00:00, 14.6, 6.4
2010-02-05 00:00:00, 13.6, 7.0
2010-02-06 00:00:00, 14.7, 2.6
2010-02-07 00:00:00, 7.9, 6.5
2010-02-08 00:00:00, 12.7, 4.5
2010-02-09 00:00:00, 11.1, 1.0
2010-02-10 00:00:00, 8.5, 3.6
2010-02-11 00:00:00, 11.7, 5.0
2010-02-12 00:00:00, 11.8, 6.7
2010-02-13 00:00:00, 10.8, 6.7
2010-02-14 00:00:00, 13.8, 4.5
2010-02-15 00:00:00, 11.7, 4.1
2010-02-16 00:00:00, 13.7, 4.0
2010-02-17 00:00:00, 12.9, 1.1
2010-02-18 00:00:00, 14.9, 0.8
2010-02-19 00:00:00, 15.4, 0.1
2010-02-20 00:00:00, 15.3, 0.5
2010-02-21 00:00:00, 14.5, 1.6
2010-02-22 00:00:00, 15.8, 0.7
2010-02-23 00:00:00, 9.0, 3.3
2010-02-24 00:00:00, 7.1, 4.9
2010-02-25 00:00:00, 12.0, 6.0
2010-02-26 00:00:00, 11.7, 6.5
2010-02-27 00:00:00, 9.6, 7.3
2010-02-28 00:00:00, 13.8, 7.6
2010-03-01 00:00:00, 13.3, 4.8
2010-03-02 00:00:00, 14.2, 7.8
2010-03-03 00:00:00, 13.5, 4.6
2010-03-04 00:00:00, 11.4, 2.8
2010-03-05 00:00:00, 13.9, 4.0
2010-03-06 00:00:00, 15.1, 1.7
2010-03-07 00:00:00, 8.8, 3.1
2010-03-08 00:00:00, 9.5, 0.5
2010-03-09 00:00:00, 7.7, -1.0
2010-03-10 00:00:00, 9.8, 2.0
2010-03-11 00:00:00, 8.2, 0.3
2010-03-12 00:00:00, 9.7, 2.6
2010-03-13 00:00:00, 8.9, 3.6
2010-03-14 00:00:00, 9.6, 4.0
2010-03-15 00:00:00, 14.7, 4.9
2010-03-16 00:00:00, 15.1, 8.7
2010-03-17 00:00:00, 12.8, 4.3
2010-03-18 00:00:00, 11.5, 0.1
2010-03-19 00:00:00, 15.6, 0.2
2010-03-20 00:00:00, 17.3, 1.5
2010-03-21 00:00:00, 12.3, 6.1
2010-03-22 00:00:00, 13.3, 3.4
