station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
0.0, None, 2013-01-01 00:00:00, -7.5, -0.8, 27.0
0.0, None, 2013-01-02 00:00:00, -3.8, -1.7, 26.0
0.0, None, 2013-01-03 00:00:00, -6.0, -3.7, 27.0
3.7, 0.0, 2013-01-04 00:00:00, -6.7, -3.8, 27.0
3.2, 0.0, 2013-01-05 00:00:00, -6.0, -3.3, 30.0
10.4, 0.0, 2013-01-06 00:00:00, -3.5, 0.4, 41.0
6.3, 0.0, 2013-01-07 00:00:00, -1.0, 0.5, 44.0
13.9, 0.0, 2013-01-08 00:00:00, -4.0, 0.5, 53.0
7.7, None, 2013-01-09 00:00:00, -0.7, 0.9, 61.0
0.0, None, 2013-01-10 00:00:00, -2.4, 0.6, 59.0
0.0, None, 2013-01-11 00:00:00, -6.2, -1.9, 55.0
0.0, None, 2013-01-12 00:00:00, -9.1, -4.8, 53.0
0.0, None, 2013-01-13 00:00:00, -15.6, -7.4, 51.0
0.0, None, 2013-01-14 00:00:00, -10.7, -6.1, 50.0
0.0, None, 2017-12-31 00:00:00, -18.1, -8.3, 41.0
