station_observations
ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
16.4, 2010-01-01 00:00:00, 4.8, 8.7, None
3.8, 2010-01-02 00:00:00, 4.2, 8.1, None
2.6, 2010-01-03 00:00:00, 4.0, 6.5, None
28.8, 2010-01-04 00:00:00, 4.7, 5.7, None
2.2, 2010-01-05 00:00:00, 4.4, 6.3, None
0.0, 2010-01-06 00:00:00, 1.8, 4.9, None
0.6, 2010-01-07 00:00:00, 0.8, 4.3, None
13.8, 2010-01-08 00:00:00, 3.2, 7.5, None
0.2, 2010-01-09 00:00:00, 6.8, 10.5, None
0.2, 2010-01-10 00:00:00, 5.8, 11.7, None
11.6, 2010-01-11 00:00:00, 8.8, 13.2, None
None, 2010-01-12 00:00:00, 8.8, 9.6, None
3.4, 2010-01-13 00:00:00, 6.9, 9.5, None
12.8, 2010-01-14 00:00:00, 6.3, 8.2, None
10.8, 2010-01-15 00:00:00, 3.2, 9.2, None
0.0, 2010-01-16 00:00:00, 3.4, 6.2, None
2.4, 2010-01-17 00:00:00, 4.9, 10.2, None
3.4, 2010-01-18 00:00:00, 6.8, 11.1, None
0.0, 2010-01-19 00:00:00, 7.3, 12.6, None
0.0, 2010-01-20 00:00:00, 6.6, 11.2, None
0.0, 2010-01-21 00:00:00, 5.7, 11.5, None
0.0, 2010-01-22 00:00:00, 4.0, 9.2, None
0.2, 2010-01-23 00:00:00, 3.9, 9.9, None
2.4, 2010-01-24 00:00:00, 3.4, 5.6, None
0.0, 2010-01-25 00:00:00, 4.7, 8.9, None
0.2, 2010-01-26 00:00:00, 2.7, 10.0, None
0.0, 2010-01-27 00:00:00, 2.8, 9.7, None
0.0, 2010-01-28 00:00:00, 5.1, 8.1, None
1.2, 2010-01-29 00:00:00, 6.3, 9.6, None
9.8, 2010-01-30 00:00:00, 6.2, 7.4, None
0.8, 2010-01-31 00:00:00, 6.2, 8.2, None
4.2, 2010-02-01 00:00:00, 5.6, 6.8, None
2.2, 2010-02-02 00:00:00, 5.5, 10.0, None
1.2, 2010-02-03 00:00:00, 4.4, 7.8, None
0.8, 2010-02-04 00:00:00, 5.4, 10.1, None
2.2, 2010-02-05 00:00:00, 6.6, 10.9, None
0.0, 2010-02-06 00:00:00, 4.7, 11.3, None
2.6, 2010-02-07 00:00:00, 4.6, 7.2, None
1.2, 2010-02-08 00:00:00, 4.7, 7.9, None
0.2, 2010-02-09 00:00:00, 2.8, 9.4, None
1.0, 2010-02-10 00:00:00, 2.9, 6.3, None
3.6, 2010-02-11 00:00:00, 4.9, 11.7, None
1.6, 2010-02-12 00:00:00, 6.2, 11.0, None
2.4, 2010-02-13 00:00:00, 6.3, 11.1, None
5.6, 2010-02-14 00:00:00, 4.8, 12.6, None
1.0, 2010-02-15 00:00:00, 4.3, 8.7, None
10.6, 2010-02-16 00:00:00, 5.3, 11.5, None
0.0, 2010-02-17 00:00:00, 4.2, 7.7, None
0.0, 2010-02-18 00:00:00, 3.9, 9.3, None
0.0, 2010-02-19 00:00:00, 3.4, 12.6, None
0.0, 2010-02-20 00:00:00, 3.1, 12.1, None
0.0, 2010-02-21 00:00:00, 2.5, 11.7, None
0.0, 2010-02-22 00:00:00, 1.6, 10.6, None
1.8, 2010-02-23 00:00:00, 3.9, 7.7, None
11.4, 2010-02-24 00:00:00, 4.9, 8.1, None
0.8, 2010-02-25 00:00:00, 5.8, 11.1, None
4.2, 2010-02-26 00:00:00, 5.5, 8.4, None
8.0, 2010-02-27 00:00:00, 6.6, 9.6, None
0.2, 2010-02-28 00:00:00, 6.3, 10.9, None
0.0, 2010-03-01 00:00:00, 6.3, 11.1, None
2.4, 2010-03-02 00:00:00, 6.6, 12.2, None
0.8, 2010-03-03 00:00:00, 5.6, 11.6, None
0.0, 2010-03-04 00:00:00, 3.9, 10.3, None
0.0, 2010-03-05 00:00:00, 3.8, 12.2, None
0.0, 2010-03-06 00:00:00, 4.2, 11.9, None
6.0, 2010-03-07 00:00:00, 2.0, 6.9, None
1.0, 2010-03-08 00:00:00, -0.8, 5.4, None
0.2, 2010-03-09 00:00:00, -0.1, 6.6, None
0.8, 2010-03-10 00:00:00, 2.7, 9.4, None
5.0, 2010-03-11 00:00:00, 3.5, 6.8, None
13.6, 2010-03-12 00:00:00, 1.3, 8.9, None
0.4, 2010-03-13 00:00:00, 3.3, 9.1, None
5.2, 2010-03-14 00:00:00, 3.6, 7.4, None
1.8, 2010-03-15 00:00:00, 5.1, 11.6, None
2.8, 2010-03-16 00:00:00, 6.8, 14.7, None
0.0, 2010-03-17 00:00:00, 3.5, 10.7, None
0.0, 2010-03-18 00:00:00, 3.8, 8.3, None
0.0, 2010-03-19 00:00:00, 4.0, 11.5, None
0.0, 2010-03-20 00:00:00, 4.3, 13.5, None
5.4, 2010-03-21 00:00:00, 5.5, 11.7, None
0.2, 2010-03-22 00:00:00, 2.4, 11.2, None
0.2, 2010-03-23 00:00:00, 3.6, 11.5, None
0.0, 2010-03-24 00:00:00, 5.4, 13.3, None
6.4, 2010-03-25 00:00:00, 6.8, 9.6, None
4.2, 2010-03-26 00:00:00, 4.7, 11.6, None
0.0, 2010-03-27 00:00:00, 4.7, 12.5, None
5.0, 2010-03-28 00:00:00, 6.1, 13.2, None
14.8, 2010-03-29 00:00:00, 3.7, 7.9, None
1.0, 2010-03-30 00:00:00, 3.0, 9.1, None
0.0, 2010-03-31 00:00:00, 2.6, 9.8, None
0.2, 2010-04-01 00:00:00, 2.6, 8.6, None
None, 2010-04-02 00:00:00, 3.4, None, None
1.2, 2010-04-03 00:00:00, 2.7, 6.9, None
0.0, 2010-04-04 00:00:00, 2.7, 11.5, None
0.0, 2010-04-05 00:00:00, 5.1, 10.9, None
2.6, 2010-04-06 00:00:00, 3.0, 9.7, None
4.4, 2010-04-07 00:00:00, 4.4, 7.8, None
4.0, 2010-04-08 00:00:00, 1.7, 9.8, None
0.0, 2010-04-09 00:00:00, -0.2, 8.4, None
1.0, 2010-04-16 00:00:00, 7.0, 15.2, None
1.4, 2010-04-17 00:00:00, 8.1, 13.9, None
0.0, 2010-04-18 00:00:00, 8.8, 16.7, None
0.0, 2010-04-19 00:00:00, 10.9, 19.5, None
None, 2010-04-20 00:00:00, 8.6, 12.1, None
0.0, 2010-04-21 00:00:00, 4.9, 9.0, None
None, 2010-04-22 00:00:00, 4.7, 12.3, None
None, 2010-04-23 00:00:00, 4.3, 10.4, None
1.2, 2010-04-24 00:00:00, 3.3, 10.2, None
0.0, 2010-04-25 00:00:00, 4.4, 12.1, None
