station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND
1.2, 1.2, 0.0, 2010-04-16 00:00:00, None
8.6, 8.6, 0.0, 2010-04-17 00:00:00, None
0.0, 0.0, 0.0, 2010-04-18 00:00:00, None
3.8, 3.8, 0.0, 2010-04-19 00:00:00, None
2.8, 2.8, 0.0, 2010-04-20 00:00:00, None
0.0, 0.0, 0.0, 2010-04-21 00:00:00, None
0.0, 0.0, 0.0, 2010-04-22 00:00:00, None
8.8, 8.8, 0.0, 2010-04-23 00:00:00, None
5.4, 5.4, 0.0, 2010-04-24 00:00:00, None
0.0, 0.0, 0.0, 2010-04-25 00:00:00, None
25.8, 25.8, 0.0, 2010-04-26 00:00:00, None
1.2, 1.2, 0.0, 2010-04-27 00:00:00, None
2.6, 2.6, 0.0, 2010-04-28 00:00:00, None
0.0, 0.0, 0.0, 2010-04-29 00:00:00, None
2.2, 2.2, 0.0, 2010-04-30 00:00:00, None
0.0, 0.0, 0.0, 2010-05-01 00:00:00, None
19.6, 19.6, 0.0, 2010-05-02 00:00:00, None
0.6, 0.6, 0.0, 2010-05-03 00:00:00, None
0.0, 0.0, 0.0, 2010-05-04 00:00:00, None
0.0, 0.0, 0.0, 2010-05-05 00:00:00, None
0.0, 0.0, 0.0, 2010-05-06 00:00:00, None
0.0, 0.0, 0.0, 2010-05-07 00:00:00, None
0.0, 0.0, 0.0, 2010-05-08 00:00:00, None
0.0, 0.0, 0.0, 2010-05-09 00:00:00, None
0.0, 0.0, 0.0, 2010-05-10 00:00:00, None
0.0, 0.0, 0.0, 2010-05-11 00:00:00, None
0.0, 0.0, 0.0, 2010-05-12 00:00:00, None
0.0, 0.0, 0.0, 2010-05-13 00:00:00, None
0.0, 0.0, 0.0, 2010-05-14 00:00:00, None
0.0, 0.0, 0.0, 2010-05-15 00:00:00, None
0.0, 0.0, 0.0, 2010-05-16 00:00:00, None
3.2, 3.2, 0.0, 2010-05-17 00:00:00, None
10.2, 10.2, 0.0, 2010-05-18 00:00:00, None
6.6, 6.6, 0.0, 2010-05-19 00:00:00, None
1.4, 1.4, 0.0, 2010-05-20 00:00:00, None
3.0, 3.0, 0.0, 2010-05-21 00:00:00, None
0.0, 0.0, 0.0, 2010-05-22 00:00:00, None
0.0, 0.0, 0.0, 2010-05-23 00:00:00, None
2.0, 2.0, 0.0, 2010-05-24 00:00:00, None
2.4, 2.4, 0.0, 2010-05-25 00:00:00, None
5.6, 5.6, 0.0, 2010-05-26 00:00:00, None
12.2, 12.2, 0.0, 2010-05-27 00:00:00, None
5.2, 5.2, 0.0, 2010-05-28 00:00:00, None
3.8, 3.8, 0.0, 2010-05-29 00:00:00, None
10.6, 10.6, 0.0, 2010-05-30 00:00:00, None
4.8, 4.8, 0.0, 2010-05-31 00:00:00, None
22.8, 22.8, 0.0, 2010-06-01 00:00:00, None
5.2, 5.2, 0.0, 2010-06-02 00:00:00, None
1.0, 1.0, 0.0, 2010-06-03 00:00:00, None
0.0, 0.0, 0.0, 2010-06-04 00:00:00, None
0.0, 0.0, 0.0, 2010-06-05 00:00:00, None
5.0, 5.0, 0.0, 2010-06-06 00:00:00, None
0.0, 0.0, 0.0, 2010-06-07 00:00:00, None
20.6, 20.6, 0.0, 2010-06-08 00:00:00, None
0.4, 0.4, 0.0, 2010-06-09 00:00:00, None
4.2, 4.2, 0.0, 2010-06-10 00:00:00, None
0.0, 0.0, 0.0, 2010-06-11 00:00:00, None
0.4, 0.4, 0.0, 2010-06-12 00:00:00, None
