station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
0.0, None, 2010-01-02 00:00:00, -3.9, 0.0, None
4.5, None, 2010-01-03 00:00:00, -3.3, -1.7, None
6.7, None, 2010-01-07 00:00:00, -4.2, 1.1, None
None, None, 2010-01-08 00:00:00, -2.3, 1.0, None
7.8, None, 2010-01-09 00:00:00, -0.3, 1.5, 269.0
28.2, None, 2010-01-10 00:00:00, 0.8, 2.0, 265.0
55.5, None, 2010-01-11 00:00:00, 0.6, 2.6, 258.0
5.7, None, 2010-01-13 00:00:00, -0.3, 0.4, None
21.1, None, 2010-01-14 00:00:00, -3.3, 0.2, 258.0
17.3, None, 2010-01-15 00:00:00, -5.0, -0.1, None
0.0, None, 2010-01-16 00:00:00, -5.9, -3.4, None
22.3, None, 2010-01-17 00:00:00, -4.4, -0.4, None
30.1, None, 2010-01-18 00:00:00, -2.7, 0.0, None
20.4, None, 2010-01-19 00:00:00, -3.6, -0.4, None
7.3, None, 2010-01-20 00:00:00, -2.4, -0.1, None
0.0, None, 2010-01-21 00:00:00, -2.5, -1.9, None
1.2, None, 2010-01-23 00:00:00, -3.7, -1.6, 365.0
None, None, 2010-01-24 00:00:00, -4.5, -2.6, 364.0
35.4, 0.0, 2010-01-25 00:00:00, -4.3, -1.8, 390.0
0.0, None, 2010-01-26 00:00:00, -3.1, 0.0, 417.0
0.3, None, 2010-01-27 00:00:00, -4.3, -2.6, 408.0
8.0, None, 2010-01-28 00:00:00, -3.8, -2.3, 407.0
7.5, 0.0, 2010-01-29 00:00:00, -2.4, -0.1, 397.0
2.4, None, 2010-01-30 00:00:00, -1.2, 0.0, 401.0
0.3, None, 2010-01-31 00:00:00, -2.7, 0.1, 394.0
10.8, 0.0, 2010-02-01 00:00:00, -3.2, -2.0, 391.0
4.4, 0.0, 2010-02-02 00:00:00, -3.0, 0.0, 401.0
1.8, None, 2010-02-03 00:00:00, -2.8, 0.1, 400.0
12.1, None, 2010-02-04 00:00:00, -2.6, -0.8, 398.0
31.5, 0.0, 2010-02-05 00:00:00, -2.1, -0.7, 401.0
5.9, 0.0, 2010-02-06 00:00:00, -1.1, 0.0, 418.0
0.0, None, 2010-02-07 00:00:00, -4.4, 0.0, 420.0
0.0, None, 2010-02-08 00:00:00, -4.2, -0.4, 414.0
0.0, None, 2010-02-09 00:00:00, -4.4, -0.2, 411.0
8.4, 0.0, 2010-02-10 00:00:00, -3.8, -2.5, 408.0
48.7, 0.0, 2010-02-11 00:00:00, -3.4, -0.1, 416.0
None, None, 2010-02-12 00:00:00, -4.0, 0.0, 442.0
121.5, None, 2010-02-13 00:00:00, -2.6, -0.8, 454.0
7.6, None, 2010-02-14 00:00:00, -4.1, 0.1, None
40.5, None, 2010-02-15 00:00:00, -4.1, -1.7, None
65.9, None, 2010-02-16 00:00:00, -5.3, 0.2, None
None, None, 2010-02-17 00:00:00, -5.9, 1.1, None
0.0, None, 2010-02-18 00:00:00, -0.3, 5.1, None
0.0, None, 2010-02-19 00:00:00, 2.9, 7.6, 558.0
0.0, None, 2010-02-20 00:00:00, 1.4, 8.9, 557.0
0.0, None, 2010-02-21 00:00:00, 0.1, 5.7, 556.0
0.0, None, 2010-02-22 00:00:00, -2.3, 1.9, 555.0
5.3, 0.0, 2010-02-23 00:00:00, -4.3, -2.0, 554.0
5.0, 0.0, 2010-02-24 00:00:00, -3.5, -0.5, 561.0
6.0, 0.0, 2010-02-25 00:00:00, -3.4, 0.0, 561.0
25.8, 0.0, 2010-02-26 00:00:00, -2.9, 0.0, 576.0
5.0, None, 2010-02-27 00:00:00, -1.3, 0.1, 594.0
0.0, None, 2010-02-28 00:00:00, -2.5, 0.0, 588.0
0.0, None, 2010-03-01 00:00:00, -2.1, 0.3, 586.0
18.5, 0.0, 2010-03-02 00:00:00, -2.5, 0.0, 588.0
