station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND
2.0, 0.0, 2.0, 2010-01-01 00:00:00, 39.0
3.0, 0.0, 3.0, 2010-01-02 00:00:00, 39.0
0.0, 0.0, 0.0, 2010-01-03 00:00:00, 38.0
0.0, 0.0, 0.0, 2010-01-04 00:00:00, 37.0
0.0, 0.0, 0.0, 2010-01-05 00:00:00, 36.0
1.0, 0.0, 1.0, 2010-01-06 00:00:00, 35.0
7.8, 4.8, 3.0, 2010-01-07 00:00:00, 34.0
10.8, 6.8, 4.0, 2010-01-08 00:00:00, 36.0
41.6, 41.6, 0.0, 2010-01-09 00:00:00, 38.0
66.4, 66.4, 0.0, 2010-01-10 00:00:00, 38.0
26.8, 26.8, 0.0, 2010-01-11 00:00:00, 37.0
16.0, 16.0, 0.0, 2010-01-12 00:00:00, 34.0
16.6, 16.6, 0.0, 2010-01-13 00:00:00, 32.0
31.0, 27.0, 4.0, 2010-01-14 00:00:00, 29.0
3.2, 3.2, 0.0, 2010-01-15 00:00:00, 27.0
2.4, 2.4, 0.0, 2010-01-16 00:00:00, 25.0
10.2, 8.2, 2.0, 2010-01-17 00:00:00, 24.0
2.8, 2.8, 0.0, 2010-01-18 00:00:00, 24.0
0.8, 0.8, 0.0, 2010-01-19 00:00:00, 22.0
0.0, 0.0, 0.0, 2010-01-20 00:00:00, 19.0
0.0, 0.0, 0.0, 2010-01-21 00:00:00, 18.0
0.0, 0.0, 0.0, 2010-01-22 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-01-23 00:00:00, 17.0
0.0, 0.0, 0.0, 2010-01-24 00:00:00, 15.0
2.0, 0.0, 2.0, 2010-01-25 00:00:00, 15.0
2.0, 0.0, 2.0, 2010-01-26 00:00:00, 17.0
15.0, 0.0, 15.0, 2010-01-27 00:00:00, 18.0
13.6, 8.6, 5.0, 2010-01-28 00:00:00, 29.0
2.0, 2.0, 0.0, 2010-01-29 00:00:00, 29.0
2.0, 2.0, 0.0, 2010-01-30 00:00:00, 27.0
1.2, 1.2, 0.0, 2010-01-31 00:00:00, 19.0
0.0, 0.0, 0.0, 2010-02-01 00:00:00, 17.0
0.0, 0.0, 0.0, 2010-02-02 00:00:00, 15.0
0.0, 0.0, 0.0, 2010-02-04 00:00:00, None
0.0, 0.0, 0.0, 2010-02-05 00:00:00, 12.0
1.0, 1.0, 0.0, 2010-02-06 00:00:00, 11.0
4.6, 4.6, 0.0, 2010-02-07 00:00:00, 10.0
1.0, 1.0, 0.0, 2010-02-08 00:00:00, 9.0
1.0, 0.0, 1.0, 2010-02-09 00:00:00, 8.0
4.6, 3.6, 1.0, 2010-02-10 00:00:00, 8.0
8.0, 4.0, 4.0, 2010-02-11 00:00:00, 8.0
8.8, 8.8, 0.0, 2010-02-12 00:00:00, 6.0
16.6, 16.6, 0.0, 2010-02-13 00:00:00, 4.0
0.0, 0.0, 0.0, 2010-02-14 00:00:00, 0.0
6.6, 6.6, 0.0, 2010-02-15 00:00:00, 0.0
1.2, 1.2, 0.0, 2010-02-16 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-02-17 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-02-18 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-02-19 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-02-20 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-02-21 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-02-22 00:00:00, 0.0
4.0, 0.0, 4.0, 2010-02-23 00:00:00, 0.0
16.2, 16.2, 0.0, 2010-02-24 00:00:00, 4.0
12.0, 12.0, 0.0, 2010-02-25 00:00:00, 0.0
1.4, 1.4, 0.0, 2010-02-26 00:00:00, 0.0
1.4, 1.4, 0.0, 2010-02-27 00:00:00, 0.0
8.2, 8.2, 0.0, 2010-02-28 00:00:00, 0.0
5.6, 5.6, 0.0, 2010-03-01 00:00:00, 0.0
9.6, 9.6, 0.0, 2010-03-02 00:00:00, 0.0
3.4, 3.4, 0.0, 2010-03-03 00:00:00, 0.0
10.6, 10.6, 0.0, 2010-03-04 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-03-05 00:00:00, 0.0
5.4, 5.4, 0.0, 2010-03-06 00:00:00, 0.0
2.0, 0.0, 2.0, 2010-03-07 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-03-08 00:00:00, 2.0
2.2, 1.6, 0.6, 2010-03-09 00:00:00, 0.0
8.0, 0.0, 8.0, 2010-03-10 00:00:00, 0.0
9.2, 3.2, 6.0, 2010-03-11 00:00:00, 4.0
0.0, 0.0, 0.0, 2010-03-12 00:00:00, 0.0
10.8, 6.8, 4.0, 2010-03-13 00:00:00, 0.0
33.0, 33.0, 0.0, 2010-03-14 00:00:00, 4.0
7.8, 7.8, 0.0, 2010-03-15 00:00:00, 0.0
18.6, 18.6, 0.0, 2010-03-16 00:00:00, 0.0
2.2, 2.2, 0.0, 2010-03-17 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-03-18 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-03-19 00:00:00, 0.0
2.4, 2.4, 0.0, 2010-03-20 00:00:00, 0.0
1.6, 1.6, 0.0, 2010-03-21 00:00:00, 0.0
6.2, 6.2, 0.0, 2010-03-22 00:00:00, 0.0
7.6, 7.6, 0.0, 2010-03-23 00:00:00, 0.0
0.0, None, 0.0, 2010-03-24 00:00:00, 0.0
0.0, None, 0.0, 2010-03-25 00:00:00, 0.0
0.0, None, 0.0, 2010-03-26 00:00:00, 0.0
0.0, None, 0.0, 2010-03-27 00:00:00, 0.0
0.0, None, 0.0, 2010-03-28 00:00:00, 0.0
0.0, None, 0.0, 2010-03-29 00:00:00, 0.0
0.0, None, 0.0, 2010-03-30 00:00:00, 0.0
42.0, 42.0, 0.0, 2010-03-31 00:00:00, 0.0
0.8, 0.8, 0.0, 2010-04-01 00:00:00, 0.0
1.8, 1.8, 0.0, 2010-04-02 00:00:00, 0.0
6.2, 4.2, 2.0, 2010-04-03 00:00:00, 0.0
0.6, 0.6, 0.0, 2010-04-04 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-05 00:00:00, 0.0
19.4, 14.4, 5.0, 2010-04-06 00:00:00, 0.0
0.8, 0.8, 0.0, 2010-04-07 00:00:00, 5.0
1.6, 0.0, 1.6, 2010-04-08 00:00:00, 0.0
0.4, 0.0, 0.4, 2010-04-09 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-10 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-11 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-12 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-13 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-14 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-15 00:00:00, 0.0
0.8, 0.8, 0.0, 2010-04-16 00:00:00, 0.0
3.4, 3.4, 0.0, 2010-04-17 00:00:00, 0.0
1.2, 1.2, 0.0, 2010-04-18 00:00:00, 0.0
4.0, 4.0, 0.0, 2010-04-19 00:00:00, 0.0
2.0, 2.0, 0.0, 2010-04-20 00:00:00, 0.0
1.2, 1.2, 0.0, 2010-04-21 00:00:00, 0.0
1.0, 1.0, 0.0, 2010-04-22 00:00:00, 0.0
1.6, 1.6, 0.0, 2010-04-23 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-24 00:00:00, 0.0
0.4, 0.4, 0.0, 2010-04-25 00:00:00, 0.0
3.6, 3.6, 0.0, 2010-04-26 00:00:00, 0.0
2.6, 2.6, 0.0, 2010-04-27 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-28 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-29 00:00:00, 0.0
7.2, 7.2, 0.0, 2010-04-30 00:00:00, 0.0
0.6, 0.6, 0.0, 2010-05-01 00:00:00, 0.0
2.4, 2.4, 0.0, 2010-05-02 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-03 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-04 00:00:00, 0.0
1.6, 1.6, 0.0, 2010-05-05 00:00:00, 0.0
1.8, 1.8, 0.0, 2010-05-06 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-07 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-08 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-09 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-10 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-11 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-12 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-13 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-14 00:00:00, 0.0
0.6, 0.6, 0.0, 2010-05-15 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-16 00:00:00, 0.0
1.2, 1.2, 0.0, 2010-05-17 00:00:00, 0.0
2.4, 2.4, 0.0, 2010-05-18 00:00:00, 0.0
8.8, 8.8, 0.0, 2010-05-19 00:00:00, 0.0
5.0, 5.0, 0.0, 2010-05-20 00:00:00, 0.0
0.6, 0.6, 0.0, 2010-05-21 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-22 00:00:00, 0.0
0.8, 0.8, 0.0, 2010-05-23 00:00:00, 0.0
3.4, 3.4, 0.0, 2010-05-24 00:00:00, 0.0
15.0, 15.0, 0.0, 2010-05-25 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-26 00:00:00, 0.0
