station_observations
time, ONE_DAY_PRECIPITATION, MAX_TEMP, MIN_TEMP
2010-01-01 00:00:00, 37.5, 2.7, -1.7
2010-01-02 00:00:00, 30.0, 5.8, 1.7
2010-01-03 00:00:00, 1.0, 6.4, 1.3
2010-01-04 00:00:00, 10.0, 5.4, 3.4
2010-01-05 00:00:00, 0.0, 5.5, 1.5
2010-01-06 00:00:00, 0.0, 1.8, -1.7
2010-01-07 00:00:00, 0.0, 2.1, -2.0
2010-01-08 00:00:00, 7.5, 4.5, 0.3
2010-01-09 00:00:00, 2.5, 6.0, 1.9
2010-01-10 00:00:00, 0.5, 6.8, 1.4
2010-01-11 00:00:00, 22.5, 6.7, 4.7
2010-01-12 00:00:00, 6.0, 7.7, 4.7
2010-01-13 00:00:00, 4.0, 6.8, 4.2
2010-01-14 00:00:00, 22.0, 8.7, 4.6
2010-01-15 00:00:00, 34.5, 8.3, 4.6
2010-01-16 00:00:00, 5.5, 6.8, 1.7
2010-01-17 00:00:00, 0.5, 6.5, 1.6
2010-01-18 00:00:00, 0.0, 8.4, 3.9
2010-01-19 00:00:00, 0.5, 9.9, 3.6
2010-01-20 00:00:00, 0.0, 9.9, 3.2
2010-01-21 00:00:00, 0.0, 10.7, 4.8
2010-01-22 00:00:00, 0.0, 10.1, 2.4
2010-01-23 00:00:00, 0.0, 5.9, 1.1
2010-01-24 00:00:00, 0.0, 6.5, 1.1
2010-01-25 00:00:00, 0.5, 6.4, 1.8
2010-01-26 00:00:00, 0.0, 8.0, 1.4
2010-01-27 00:00:00, 0.0, 7.6, 0.2
2010-01-28 00:00:00, 0.0, 8.9, 2.6
2010-01-29 00:00:00, 0.5, 11.3, 4.8
2010-01-30 00:00:00, 8.0, 8.3, 5.1
2010-01-31 00:00:00, 3.5, 7.7, 5.0
2010-02-01 00:00:00, 1.0, 8.3, 3.5
2010-02-02 00:00:00, 1.0, 7.5, 4.2
2010-02-03 00:00:00, 0.5, 10.0, 4.3
2010-02-04 00:00:00, 0.0, 10.7, 3.4
2010-02-05 00:00:00, 0.5, 9.8, 4.1
2010-02-06 00:00:00, 0.5, 10.8, 2.5
2010-02-07 00:00:00, 0.0, 8.6, 2.7
2010-02-08 00:00:00, 0.5, 9.6, 3.4
2010-02-09 00:00:00, 0.0, 7.6, 0.1
2010-02-10 00:00:00, 0.0, 7.4, 0.4
2010-02-11 00:00:00, 0.5, 7.8, 2.1
2010-02-12 00:00:00, 8.0, 10.3, 5.6
2010-02-13 00:00:00, 1.5, 11.2, 5.4
2010-02-14 00:00:00, 7.0, 9.0, 5.3
2010-02-15 00:00:00, 0.5, 10.1, 4.1
2010-02-16 00:00:00, 8.0, 9.1, 4.1
2010-02-17 00:00:00, None, 12.9, 2.1
2010-02-18 00:00:00, 0.0, 12.2, 2.7
2010-02-19 00:00:00, 0.0, 12.8, 2.0
2010-02-20 00:00:00, 0.0, 13.1, 1.1
2010-02-21 00:00:00, 0.0, 11.9, 1.1
2010-02-22 00:00:00, 0.0, 12.1, -0.4
2010-02-23 00:00:00, 0.0, 9.3, -0.6
2010-02-24 00:00:00, 17.5, 6.6, 3.3
