station_observations
time, MAX_TEMP, MIN_TEMP
2010-01-01 00:00:00, 1.9, -2.6
2010-01-02 00:00:00, 1.9, 0.1
2010-01-03 00:00:00, 3.1, -0.2
2010-01-04 00:00:00, 1.7, -0.4
2010-01-05 00:00:00, 4.0, -4.2
2010-01-06 00:00:00, -2.6, -6.9
2010-01-07 00:00:00, 2.0, -6.2
2010-01-08 00:00:00, 3.9, -0.8
2010-01-09 00:00:00, 4.8, 2.1
2010-01-10 00:00:00, 5.9, 3.8
2010-01-11 00:00:00, 4.4, 1.6
2010-01-12 00:00:00, 5.3, 1.6
2010-01-13 00:00:00, 3.1, 1.3
2010-01-14 00:00:00, 3.1, -0.6
2010-01-15 00:00:00, 1.7, -0.6
2010-01-16 00:00:00, 2.1, -4.6
2010-01-17 00:00:00, 2.1, -3.3
2010-01-18 00:00:00, 3.2, -0.4
2010-01-19 00:00:00, 3.7, -0.7
2010-01-20 00:00:00, 3.5, 0.1
2010-01-21 00:00:00, 4.1, 0.5
2010-01-22 00:00:00, 5.8, -0.6
2010-01-23 00:00:00, 3.6, -2.5
2010-01-24 00:00:00, -0.5, -3.4
2010-01-25 00:00:00, 1.0, -2.8
2010-01-26 00:00:00, 4.7, -0.4
2010-01-27 00:00:00, 3.6, -2.0
2010-01-28 00:00:00, 1.7, -0.9
2010-01-29 00:00:00, 5.9, 0.6
2010-01-30 00:00:00, 2.6, 1.3
2010-01-31 00:00:00, 2.6, 0.8
2010-02-01 00:00:00, 2.5, 0.0
2010-02-02 00:00:00, 2.2, -0.4
2010-02-03 00:00:00, 4.9, -0.8
2010-02-04 00:00:00, 6.5, 0.0
2010-02-05 00:00:00, 4.6, -0.4
2010-02-06 00:00:00, 6.0, -1.6
2010-02-07 00:00:00, 3.0, 0.5
2010-02-08 00:00:00, 6.0, -0.3
2010-02-09 00:00:00, 5.3, -2.7
2010-02-10 00:00:00, 0.7, -0.6
2010-02-11 00:00:00, 1.3, -0.5
2010-02-12 00:00:00, 3.9, -0.2
2010-02-13 00:00:00, 3.3, -0.4
2010-02-14 00:00:00, 4.3, -0.8
2010-02-15 00:00:00, 2.5, -2.7
2010-02-16 00:00:00, 3.5, -0.4
2010-02-17 00:00:00, None, -1.8
2010-02-18 00:00:00, 9.4, -1.9
2010-02-19 00:00:00, None, 0.8
2010-02-20 00:00:00, 12.4, 0.9
2010-02-21 00:00:00, 8.3, -0.6
2010-02-22 00:00:00, 8.6, -0.5
2010-02-23 00:00:00, 4.5, -0.4
2010-02-24 00:00:00, 2.4, -0.9
2010-02-25 00:00:00, 3.5, -0.2
2010-02-26 00:00:00, 1.4, -0.2
2010-02-27 00:00:00, 4.7, -0.1
2010-02-28 00:00:00, 5.4, 0.6
2010-03-01 00:00:00, 9.8, 0.6
2010-03-02 00:00:00, 6.7, 1.5
2010-03-03 00:00:00, 8.5, 0.3
2010-03-04 00:00:00, 6.1, -0.3
2010-03-05 00:00:00, 8.1, -0.7
2010-03-06 00:00:00, 10.1, -0.5
2010-03-07 00:00:00, 3.3, -0.7
2010-03-08 00:00:00, 2.8, -6.5
2010-03-09 00:00:00, -1.4, -7.7
2010-03-10 00:00:00, 1.1, -4.3
2010-03-11 00:00:00, 0.6, -2.8
2010-03-12 00:00:00, 0.0, -3.1
2010-03-13 00:00:00, 1.1, -3.6
2010-03-14 00:00:00, 2.2, -2.7
2010-03-15 00:00:00, 6.7, -0.6
2010-03-16 00:00:00, 5.7, 0.6
2010-03-17 00:00:00, 5.1, -2.0
2010-03-18 00:00:00, 6.7, -4.5
2010-03-19 00:00:00, 10.1, -2.6
2010-03-20 00:00:00, 11.5, 0.0
2010-03-21 00:00:00, 4.9, 0.9
2010-03-22 00:00:00, 4.4, 0.2
2010-03-23 00:00:00, 6.8, 0.0
2010-03-24 00:00:00, 12.7, 0.7
2010-03-25 00:00:00, 5.7, 1.3
2010-03-26 00:00:00, 6.1, 0.8
2010-03-27 00:00:00, 8.4, -0.1
2010-03-28 00:00:00, 6.6, -0.2
2010-03-29 00:00:00, 1.7, -1.5
2010-03-30 00:00:00, 1.3, -2.0
2010-03-31 00:00:00, 7.3, -2.3
2010-04-01 00:00:00, 1.1, -2.2
2010-04-02 00:00:00, 0.6, -1.7
2010-04-03 00:00:00, 1.2, -2.6
2010-04-04 00:00:00, 6.9, -3.6
2010-04-05 00:00:00, 4.4, -0.7
2010-04-06 00:00:00, 3.4, -1.3
2010-04-07 00:00:00, 0.9, -1.1
2010-04-08 00:00:00, 2.4, -3.4
2010-04-09 00:00:00, 2.3, -5.6
2010-04-10 00:00:00, 6.2, -6.5
2010-04-11 00:00:00, 9.7, -2.4
2010-04-12 00:00:00, 12.8, 0.6
2010-04-13 00:00:00, None, 1.2
