station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND
20.8, 20.8, 0.0, 2010-01-01 00:00:00, 0.0
15.0, 15.0, 0.0, 2010-01-04 00:00:00, 0.0
9.8, 9.8, 0.0, 2010-01-08 00:00:00, 0.0
None, None, None, 2010-01-09 00:00:00, 0.0
5.6, 5.6, 0.0, 2010-01-11 00:00:00, 0.0
4.5, 4.5, 0.0, 2010-01-12 00:00:00, 0.0
1.0, 1.0, 0.0, 2010-01-13 00:00:00, 0.0
30.6, 30.6, 0.0, 2010-01-14 00:00:00, 0.0
None, None, None, 2010-01-18 00:00:00, 0.0
2.2, 2.2, 0.0, 2010-01-24 00:00:00, None
None, None, None, 2010-01-25 00:00:00, 0.0
5.0, 5.0, 0.0, 2010-01-29 00:00:00, None
3.2, 3.2, 0.0, 2010-01-30 00:00:00, 0.0
None, None, None, 2010-01-31 00:00:00, 0.0
4.2, 4.2, 0.0, 2010-02-01 00:00:00, None
None, None, None, 2010-02-02 00:00:00, 0.0
2.7, 2.7, 0.0, 2010-02-07 00:00:00, 0.0
None, None, None, 2010-02-08 00:00:00, 0.0
3.6, 3.6, 0.0, 2010-02-11 00:00:00, 0.0
5.2, 5.2, 0.0, 2010-02-12 00:00:00, 0.0
17.7, 17.7, 0.0, 2010-02-14 00:00:00, 0.0
10.0, 10.0, 0.0, 2010-02-15 00:00:00, 0.0
None, None, None, 2010-02-16 00:00:00, 0.0
5.4, 5.4, 0.0, 2010-02-23 00:00:00, None
5.3, 5.3, 0.0, 2010-02-24 00:00:00, 0.0
4.2, 4.2, 0.0, 2010-02-26 00:00:00, 0.0
3.6, 3.6, 0.0, 2010-03-07 00:00:00, None
0.6, 0.6, 0.0, 2010-03-08 00:00:00, 0.0
14.6, 11.0, 3.6, 2010-03-11 00:00:00, 0.0
1.6, 1.6, 0.0, 2010-03-12 00:00:00, 1.0
None, None, None, 2010-03-15 00:00:00, 0.0
None, None, None, 2010-03-22 00:00:00, 0.0
4.7, 4.7, 0.0, 2010-03-25 00:00:00, 0.0
None, None, None, 2010-03-26 00:00:00, 0.0
20.4, 20.4, 0.0, 2010-03-28 00:00:00, None
17.4, 17.4, 0.0, 2010-03-29 00:00:00, 0.0
None, None, None, 2010-03-30 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-01 00:00:00, None
16.7, 16.7, 0.0, 2010-04-02 00:00:00, 0.0
5.4, 5.4, 0.0, 2010-04-07 00:00:00, 0.0
None, None, None, 2010-04-09 00:00:00, 0.0
1.2, 1.2, 0.0, 2010-04-17 00:00:00, 0.0
None, None, None, 2010-04-18 00:00:00, 0.0
7.4, 7.4, 0.0, 2010-04-23 00:00:00, None
None, None, None, 2010-05-01 00:00:00, 0.0
5.2, 5.2, 0.0, 2010-05-19 00:00:00, None
None, None, None, 2010-05-21 00:00:00, 0.0
5.6, 5.6, 0.0, 2010-05-26 00:00:00, 0.0
7.6, 7.6, 0.0, 2010-05-27 00:00:00, 0.0
1.4, 1.4, 0.0, 2010-05-28 00:00:00, 0.0
None, None, None, 2010-05-29 00:00:00, 0.0
8.8, 8.8, 0.0, 2010-05-30 00:00:00, None
None, None, None, 2010-06-04 00:00:00, 0.0
7.6, 7.6, 0.0, 2010-06-06 00:00:00, 0.0
None, None, None, 2010-06-07 00:00:00, 0.0
None, None, None, 2010-06-09 00:00:00, 0.0
None, None, None, 2010-06-27 00:00:00, 0.0
None, None, None, 2010-07-02 00:00:00, 0.0
None, None, None, 2010-07-07 00:00:00, 0.0
11.5, 11.5, 0.0, 2010-08-07 00:00:00, 0.0
None, None, None, 2010-08-08 00:00:00, 0.0
4.8, 4.8, 0.0, 2010-08-31 00:00:00, 0.0
None, None, None, 2010-09-01 00:00:00, 0.0
7.6, 7.6, 0.0, 2010-09-06 00:00:00, 0.0
None, None, None, 2010-09-10 00:00:00, 0.0
10.2, 10.2, 0.0, 2010-09-12 00:00:00, 0.0
5.4, 5.4, 0.0, 2010-09-16 00:00:00, None
2.0, 2.0, 0.0, 2010-09-19 00:00:00, 0.0
None, None, None, 2010-09-20 00:00:00, 0.0
6.8, 6.8, 0.0, 2010-09-23 00:00:00, 0.0
None, None, None, 2010-09-24 00:00:00, 0.0
None, None, None, 2010-09-26 00:00:00, 0.0
5.5, 5.5, 0.0, 2010-09-27 00:00:00, None
None, None, None, 2010-09-28 00:00:00, 0.0
7.0, 7.0, 0.0, 2010-10-08 00:00:00, 0.0
12.6, 12.6, 0.0, 2010-10-09 00:00:00, 0.0
None, None, None, 2010-10-10 00:00:00, 0.0
None, None, None, 2010-10-12 00:00:00, 0.0
None, None, None, 2010-10-22 00:00:00, 0.0
17.0, 17.0, 0.0, 2010-10-24 00:00:00, 0.0
23.6, 23.6, 0.0, 2010-10-25 00:00:00, 0.0
None, None, None, 2010-10-29 00:00:00, 0.0
8.2, 8.2, 0.0, 2010-11-01 00:00:00, 0.0
None, None, None, 2010-11-02 00:00:00, 0.0
7.8, 7.8, 0.0, 2010-11-05 00:00:00, 0.0
4.0, 4.0, 0.0, 2010-11-06 00:00:00, 0.0
2.6, 2.6, 0.0, 2010-11-11 00:00:00, None
6.8, 6.8, 0.0, 2010-11-13 00:00:00, 0.0
3.2, 3.2, 0.0, 2010-11-15 00:00:00, 0.0
8.0, 8.0, 0.0, 2010-11-17 00:00:00, 0.0
0.3, 0.0, 0.3, 2010-11-22 00:00:00, None
None, None, None, 2010-11-23 00:00:00, 0.0
8.0, 0.0, 8.0, 2010-11-24 00:00:00, None
3.4, 2.4, 1.0, 2010-11-25 00:00:00, 0.0
3.0, 3.0, 0.0, 2010-11-26 00:00:00, 0.0
None, None, None, 2010-11-27 00:00:00, 0.0
None, None, None, 2010-12-01 00:00:00, 0.0
None, None, None, 2010-12-04 00:00:00, 0.0
9.6, 9.6, 0.0, 2010-12-07 00:00:00, 0.0
44.4, 44.4, 0.0, 2010-12-08 00:00:00, 0.0
9.8, 9.8, 0.0, 2010-12-09 00:00:00, 0.0
58.4, 58.4, 0.0, 2010-12-11 00:00:00, 0.0
5.0, 5.0, 0.0, 2010-12-12 00:00:00, 0.0
20.2, 20.2, 0.0, 2010-12-14 00:00:00, 0.0
None, None, None, 2010-12-15 00:00:00, 0.0
9.0, 9.0, 0.0, 2010-12-26 00:00:00, 0.0
None, None, None, 2010-12-28 00:00:00, 0.0
None, None, None, 2010-12-30 00:00:00, 0.0
10.6, 10.6, 0.0, 2011-01-04 00:00:00, None
38.6, 38.6, 0.0, 2011-01-05 00:00:00, 0.0
19.8, 19.8, 0.0, 2011-01-06 00:00:00, 0.0
2.0, 1.6, 0.4, 2011-01-08 00:00:00, None
None, None, None, 2011-01-09 00:00:00, 0.0
18.4, 5.0, 13.4, 2011-01-11 00:00:00, None
11.4, 11.4, 0.0, 2011-01-13 00:00:00, 2.0
4.2, 4.2, 0.0, 2011-01-14 00:00:00, 0.0
22.4, 22.4, 0.0, 2011-01-15 00:00:00, 0.0
13.8, 13.8, 0.0, 2011-01-16 00:00:00, 0.0
None, None, None, 2011-01-18 00:00:00, 0.0
12.8, 12.8, 0.0, 2011-01-20 00:00:00, 0.0
4.6, 4.6, 0.0, 2011-01-23 00:00:00, 0.0
None, None, None, 2011-01-27 00:00:00, 0.0
3.6, 3.6, 0.0, 2011-01-28 00:00:00, None
7.4, 7.4, 0.0, 2011-01-29 00:00:00, 0.0
None, None, None, 2011-01-30 00:00:00, 0.0
None, None, None, 2011-02-02 00:00:00, 0.0
None, None, None, 2011-02-04 00:00:00, 0.0
6.4, 6.4, 0.0, 2011-02-06 00:00:00, 0.0
21.6, 21.6, 0.0, 2011-02-12 00:00:00, 0.0
8.2, 8.2, 0.0, 2011-02-14 00:00:00, 0.0
1.8, 1.8, 0.0, 2011-02-16 00:00:00, 0.0
None, None, None, 2011-02-17 00:00:00, 0.0
12.6, 0.0, 12.6, 2011-02-22 00:00:00, None
7.2, 0.0, 7.2, 2011-02-23 00:00:00, 12.0
None, None, None, 2011-02-24 00:00:00, 16.0
