station_observations
ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
0.2, 2010-03-17 00:00:00, 5.9, 8.1, None
0.0, 2010-03-18 00:00:00, 4.2, 10.3, None
0.0, 2010-03-19 00:00:00, 2.7, 12.0, None
0.0, 2010-03-20 00:00:00, 3.3, 12.3, None
5.4, 2010-03-21 00:00:00, 7.8, 10.6, None
0.4, 2010-03-22 00:00:00, 5.1, 9.1, None
0.0, 2010-03-23 00:00:00, 6.2, 10.2, None
0.2, 2010-03-24 00:00:00, 5.9, 13.2, None
6.4, 2010-03-25 00:00:00, 6.7, 9.1, None
1.0, 2010-03-26 00:00:00, 5.4, 10.7, None
0.0, 2010-03-27 00:00:00, 8.2, 12.7, None
9.6, 2010-03-28 00:00:00, 6.2, 11.8, None
23.2, 2010-03-29 00:00:00, 3.7, 7.1, None
6.2, 2010-03-30 00:00:00, 4.3, 7.6, None
2.4, 2010-03-31 00:00:00, 3.5, 9.5, None
10.2, 2010-04-01 00:00:00, 4.0, 7.8, None
32.8, 2010-04-02 00:00:00, 3.3, 6.3, None
1.8, 2010-04-03 00:00:00, 3.8, 8.5, None
9.8, 2010-04-04 00:00:00, 3.3, 8.8, None
4.6, 2010-04-05 00:00:00, 4.9, 7.6, None
0.4, 2010-04-06 00:00:00, 3.5, 8.2, None
29.2, 2010-04-07 00:00:00, 2.1, 8.0, None
5.2, 2010-04-08 00:00:00, 1.4, 6.8, None
0.0, 2010-04-09 00:00:00, 2.0, 7.5, None
0.0, 2010-04-10 00:00:00, 1.4, 10.7, None
0.0, 2010-04-11 00:00:00, 2.3, 13.3, None
0.0, 2010-04-12 00:00:00, 4.6, 11.8, None
0.0, 2010-04-13 00:00:00, 6.6, 10.6, None
0.0, 2010-04-14 00:00:00, 5.0, 14.4, None
1.6, 2010-04-15 00:00:00, 6.7, 18.1, None
0.0, 2010-04-16 00:00:00, 8.3, 11.4, None
18.4, 2010-04-17 00:00:00, 7.7, 10.5, None
0.0, 2010-04-18 00:00:00, 10.2, 14.5, None
2.6, 2010-04-19 00:00:00, 9.7, 15.6, None
5.8, 2010-04-20 00:00:00, 7.2, 11.4, None
0.2, 2010-04-21 00:00:00, 7.2, 10.1, None
0.4, 2010-04-22 00:00:00, 6.8, 9.2, None
8.8, 2010-04-23 00:00:00, 3.7, 8.3, None
0.6, 2010-04-24 00:00:00, 5.2, 9.0, None
0.0, 2010-04-25 00:00:00, 4.9, 11.2, None
3.6, 2010-04-26 00:00:00, 9.2, 13.5, None
35.6, 2010-04-27 00:00:00, 7.1, 10.3, None
0.6, 2010-04-28 00:00:00, 6.5, 10.2, None
0.0, 2010-04-29 00:00:00, 7.9, 10.4, None
3.6, 2010-04-30 00:00:00, 7.3, 9.9, None
1.8, 2010-05-01 00:00:00, 6.3, 9.1, None
21.0, 2010-05-02 00:00:00, 4.2, 8.3, None
10.4, 2010-05-03 00:00:00, 3.4, 7.5, None
0.0, 2010-05-04 00:00:00, 4.2, 9.6, None
0.0, 2010-05-05 00:00:00, 7.0, 10.8, None
0.0, 2010-05-06 00:00:00, 7.7, 12.0, None
0.0, 2010-05-07 00:00:00, 6.5, 12.2, None
0.0, 2010-05-08 00:00:00, 6.7, 15.5, None
0.0, 2010-05-09 00:00:00, 7.3, 13.9, None
0.0, 2010-05-10 00:00:00, 8.1, 12.4, None
0.0, 2010-05-11 00:00:00, 8.8, 13.4, None
None, 2010-05-12 00:00:00, None, 13.9, None
0.0, 2010-05-13 00:00:00, 9.0, 12.4, None
0.0, 2010-05-14 00:00:00, 8.5, 12.5, None
0.0, 2010-05-15 00:00:00, 7.5, 11.2, None
0.0, 2010-05-16 00:00:00, 8.4, 12.4, None
1.8, 2010-05-17 00:00:00, 9.6, 18.1, None
13.4, 2010-05-18 00:00:00, 10.9, 14.2, None
3.6, 2010-05-19 00:00:00, 10.2, 13.5, None
None, 2010-05-20 00:00:00, 8.3, 11.9, None
0.4, 2010-05-21 00:00:00, 6.9, 14.2, None
0.0, 2010-05-22 00:00:00, 8.3, 11.1, None
1.6, 2010-05-23 00:00:00, 9.1, 13.0, None
3.0, 2010-05-24 00:00:00, 9.3, 12.7, None
16.4, 2010-05-25 00:00:00, 9.1, 12.7, None
5.6, 2010-05-26 00:00:00, 8.6, 10.7, None
0.2, 2010-05-27 00:00:00, 9.4, 13.6, None
0.0, 2010-05-28 00:00:00, 10.0, 11.8, None
1.0, 2010-05-29 00:00:00, 9.4, 11.4, None
3.0, 2010-05-30 00:00:00, 9.5, 12.2, None
4.8, 2010-05-31 00:00:00, 9.3, 13.5, None
2.8, 2010-06-01 00:00:00, 10.8, 14.5, None
11.2, 2010-06-02 00:00:00, 10.2, 14.5, None
5.6, 2010-06-03 00:00:00, 8.2, 12.2, None
0.2, 2010-06-04 00:00:00, 7.5, 14.0, None
0.4, 2010-06-05 00:00:00, 8.7, 17.2, None
0.2, 2010-06-06 00:00:00, 8.9, 15.4, None
0.0, 2010-06-07 00:00:00, 10.3, 13.3, None
0.0, 2010-06-08 00:00:00, 9.2, 13.4, None
0.4, 2010-06-09 00:00:00, 10.8, 13.5, None
0.0, 2010-06-11 00:00:00, 10.3, 13.2, None
0.4, 2010-06-12 00:00:00, 10.2, 19.0, None
0.2, 2010-06-13 00:00:00, 9.2, 11.8, None
0.0, 2010-06-14 00:00:00, 9.1, 11.7, None
0.0, 2010-06-15 00:00:00, 9.2, 12.6, None
0.0, 2010-06-16 00:00:00, 10.1, 11.8, None
0.0, 2010-06-17 00:00:00, 9.9, 12.7, None
0.0, 2010-06-18 00:00:00, 10.1, 13.6, None
0.0, 2010-06-19 00:00:00, 10.0, 14.5, None
0.0, 2010-06-20 00:00:00, 9.6, 14.8, None
0.0, 2010-06-21 00:00:00, 10.7, 15.6, None
0.0, 2010-06-22 00:00:00, 10.0, 19.6, None
2.4, 2010-06-23 00:00:00, 12.8, 18.6, None
0.2, 2010-06-24 00:00:00, 10.6, 14.9, None
0.0, 2010-06-25 00:00:00, 10.4, 13.7, None
0.0, 2010-06-26 00:00:00, 10.0, 17.0, None
0.0, 2010-06-27 00:00:00, 9.8, 14.9, None
1.6, 2010-06-28 00:00:00, 9.8, 13.7, None
5.2, 2010-06-29 00:00:00, 8.6, 13.4, None
0.0, 2010-06-30 00:00:00, 9.0, 14.4, None
0.0, 2010-07-01 00:00:00, 9.4, 13.0, None
0.0, 2010-07-02 00:00:00, 10.6, 13.7, None
0.0, 2010-07-03 00:00:00, 11.2, 15.7, None
1.0, 2010-07-04 00:00:00, 10.6, 13.1, None
0.0, 2010-07-05 00:00:00, 10.8, 14.0, None
0.0, 2010-07-06 00:00:00, 11.1, 17.1, None
0.0, 2010-07-07 00:00:00, 11.1, 27.2, None
0.0, 2010-07-08 00:00:00, 12.2, 22.8, None
0.0, 2010-07-09 00:00:00, 13.7, 18.1, None
0.0, 2010-07-10 00:00:00, 12.7, 18.8, None
0.0, 2010-07-11 00:00:00, 11.2, 14.3, None
0.0, 2010-07-12 00:00:00, 10.8, 13.6, None
0.0, 2010-07-13 00:00:00, 11.3, 14.9, None
0.0, 2010-07-14 00:00:00, 11.1, 16.3, None
0.0, 2010-07-15 00:00:00, 11.0, 14.5, None
0.0, 2010-07-16 00:00:00, 11.3, 14.2, None
0.0, 2010-07-17 00:00:00, 11.2, 14.7, None
0.0, 2010-07-18 00:00:00, 11.4, 14.3, None
0.0, 2010-07-19 00:00:00, 11.3, 14.2, None
0.0, 2010-07-20 00:00:00, 10.8, 16.1, None
0.0, 2010-07-21 00:00:00, 11.4, 15.5, None
0.0, 2010-07-22 00:00:00, 11.6, 14.4, None
0.0, 2010-07-23 00:00:00, 11.5, 19.4, None
0.0, 2010-07-24 00:00:00, 11.5, 15.2, None
0.0, 2010-07-25 00:00:00, 11.5, 15.6, None
0.0, 2010-07-26 00:00:00, 11.0, 15.5, None
0.0, 2010-07-27 00:00:00, 11.0, 14.9, None
0.0, 2010-07-28 00:00:00, 11.6, 15.3, None
0.0, 2010-07-29 00:00:00, 11.3, 13.5, None
0.0, 2010-07-30 00:00:00, 11.1, 15.4, None
0.0, 2010-07-31 00:00:00, 11.8, 16.3, None
0.0, 2010-08-01 00:00:00, 11.4, 14.9, None
0.0, 2010-08-02 00:00:00, 11.8, 14.8, None
0.0, 2010-08-03 00:00:00, 11.7, 18.4, None
0.0, 2010-08-04 00:00:00, 11.0, 18.8, None
0.0, 2010-08-05 00:00:00, 11.2, 17.0, None
0.2, 2010-08-06 00:00:00, 11.5, 17.3, None
5.4, 2010-08-07 00:00:00, 12.5, 15.1, None
0.0, 2010-08-08 00:00:00, 12.3, 15.6, None
