station_observations
time, ONE_DAY_PRECIPITATION, MAX_TEMP, MIN_TEMP
2010-01-01 00:00:00, 8.0, 1.2, -0.4
2010-01-02 00:00:00, 0.5, 1.7, -1.8
2010-01-03 00:00:00, 0.0, 2.8, -5.0
2010-01-04 00:00:00, 0.5, 3.7, -6.3
2010-01-05 00:00:00, 0.0, 2.1, -6.8
2010-01-06 00:00:00, 2.0, 7.8, -2.0
2010-01-07 00:00:00, 11.5, 10.5, 2.6
2010-01-08 00:00:00, 1.5, 10.9, 2.8
2010-01-09 00:00:00, 18.5, 8.7, 4.7
2010-01-10 00:00:00, 54.0, 10.9, 7.0
2010-01-11 00:00:00, 26.5, 10.0, 6.5
2010-01-12 00:00:00, 10.5, 8.5, 5.5
2010-01-13 00:00:00, 9.5, 8.0, 5.7
2010-01-14 00:00:00, 16.0, 7.5, 4.4
2010-01-15 00:00:00, 10.0, 7.0, 4.3
2010-01-16 00:00:00, 2.5, 7.9, 4.7
2010-01-17 00:00:00, 7.5, 9.3, 3.2
2010-01-18 00:00:00, 1.5, 7.2, 2.0
2010-01-19 00:00:00, 0.5, 10.0, 2.4
2010-01-20 00:00:00, 0.0, 11.9, 2.3
2010-01-21 00:00:00, 0.0, 6.8, 0.5
2010-01-22 00:00:00, 0.0, 7.7, -0.2
2010-01-23 00:00:00, 0.0, 9.4, -0.3
2010-01-24 00:00:00, 0.0, 7.9, 1.1
2010-01-25 00:00:00, 0.0, 7.6, 5.2
2010-01-26 00:00:00, 0.0, 8.1, 1.5
2010-01-27 00:00:00, None, 7.2, -1.1
2010-01-28 00:00:00, 14.0, 8.5, 4.8
2010-01-29 00:00:00, 6.5, 11.1, 4.8
2010-01-30 00:00:00, 4.0, 8.5, 3.5
2010-01-31 00:00:00, 1.0, 7.1, 3.9
2010-02-01 00:00:00, 0.0, 6.7, -0.2
2010-02-02 00:00:00, 0.0, 5.7, -2.4
2010-02-03 00:00:00, 0.5, 5.4, -2.8
2010-02-04 00:00:00, 1.0, 9.2, 1.6
2010-02-05 00:00:00, 1.5, 11.8, 4.6
2010-02-06 00:00:00, 2.5, 11.6, 6.8
2010-02-07 00:00:00, 0.5, 7.6, 5.6
2010-02-08 00:00:00, 2.0, 7.4, 0.7
2010-02-09 00:00:00, 0.0, 4.9, -1.6
2010-02-10 00:00:00, 0.5, 6.6, 2.0
2010-02-11 00:00:00, 15.0, 9.0, 4.6
2010-02-12 00:00:00, 21.0, 10.0, 4.6
2010-02-13 00:00:00, 5.5, 10.3, 5.7
2010-02-14 00:00:00, 4.5, 7.4, 5.3
2010-02-15 00:00:00, 0.5, 10.4, 3.6
2010-02-16 00:00:00, 3.0, 9.6, 3.4
2010-02-17 00:00:00, 0.0, 8.2, -0.1
2010-02-18 00:00:00, 0.0, 11.1, -0.8
2010-02-19 00:00:00, 0.0, 11.2, -0.8
2010-02-20 00:00:00, 0.0, 10.7, -0.4
2010-02-21 00:00:00, 0.0, 10.0, -0.6
2010-02-22 00:00:00, 0.0, 11.1, -1.2
2010-02-23 00:00:00, 1.5, 10.1, 5.5
2010-02-24 00:00:00, 14.0, 6.8, 4.3
2010-02-25 00:00:00, 11.5, 6.9, 4.5
2010-02-26 00:00:00, 3.0, 7.5, 2.4
2010-02-27 00:00:00, 0.5, 9.6, 0.3
2010-02-28 00:00:00, 14.0, 9.2, 4.2
2010-03-01 00:00:00, 58.0, 7.2, 4.9
2010-03-02 00:00:00, 9.0, 8.5, 4.0
2010-03-03 00:00:00, 1.0, 8.5, 5.0
2010-03-04 00:00:00, 23.5, 6.3, 2.5
2010-03-05 00:00:00, 3.0, 7.6, 1.5
2010-03-06 00:00:00, 11.0, 9.0, 0.8
2010-03-07 00:00:00, 4.0, 4.4, -0.2
2010-03-08 00:00:00, 7.0, 4.5, -0.5
2010-03-09 00:00:00, 10.0, 6.3, 0.2
2010-03-10 00:00:00, 8.5, 4.7, -0.5
2010-03-11 00:00:00, 7.0, 5.5, 1.8
2010-03-12 00:00:00, 0.5, 7.6, -1.2
2010-03-13 00:00:00, 1.5, 6.9, 0.1
2010-03-14 00:00:00, 30.5, 7.1, 4.3
2010-03-15 00:00:00, 9.0, 9.3, 4.1
2010-03-16 00:00:00, 11.0, 7.8, 1.0
2010-03-17 00:00:00, 14.5, 7.6, 2.3
2010-03-18 00:00:00, 1.0, 6.0, 1.8
2010-03-19 00:00:00, 0.0, 8.4, 0.9
2010-03-20 00:00:00, 0.0, 11.6, -0.1
2010-03-21 00:00:00, 4.0, 10.4, 5.3
2010-03-22 00:00:00, 4.0, 7.9, 5.5
2010-03-23 00:00:00, 16.5, 8.5, 5.4
2010-03-24 00:00:00, 2.5, 9.0, 6.5
2010-03-25 00:00:00, 9.0, 8.4, 5.5
2010-03-26 00:00:00, 4.5, 7.2, 4.8
2010-03-27 00:00:00, 36.0, 11.0, 5.0
2010-03-28 00:00:00, 5.5, 10.5, 5.2
2010-03-29 00:00:00, 12.0, 8.4, 3.9
2010-03-30 00:00:00, 8.0, 7.6, 2.4
2010-03-31 00:00:00, 1.5, 8.3, 2.3
2010-04-01 00:00:00, 4.0, 7.9, 0.6
2010-04-02 00:00:00, 2.0, 9.3, 3.3
2010-04-03 00:00:00, 11.5, 6.3, 2.2
2010-04-04 00:00:00, 0.0, 11.9, -0.5
2010-04-05 00:00:00, 0.0, 12.0, 0.4
2010-04-06 00:00:00, 7.5, 7.8, 3.4
2010-04-07 00:00:00, 1.0, 6.6, 1.1
2010-04-08 00:00:00, 0.5, 4.1, -1.0
2010-04-09 00:00:00, 0.0, 6.7, -1.2
2010-04-10 00:00:00, 0.0, 9.0, 1.6
2010-04-11 00:00:00, 0.0, 14.7, 1.4
2010-04-12 00:00:00, 0.0, 12.0, -0.1
2010-04-13 00:00:00, 0.0, 10.2, 0.1
2010-04-14 00:00:00, 0.0, 12.0, 2.2
2010-04-15 00:00:00, 0.0, 14.2, 2.0
2010-04-16 00:00:00, 0.0, 11.8, 3.7
2010-04-17 00:00:00, 0.0, 10.3, 5.6
2010-04-18 00:00:00, 0.0, 11.8, 6.9
2010-04-19 00:00:00, 0.0, 11.5, 8.3
2010-04-20 00:00:00, 0.0, 10.4, 5.8
2010-04-21 00:00:00, 0.0, 9.9, 4.1
2010-04-22 00:00:00, 0.5, 9.0, 3.2
2010-04-23 00:00:00, 0.0, 9.9, 2.0
2010-04-24 00:00:00, 0.0, 12.8, 1.4
2010-04-25 00:00:00, 0.0, 11.5, 5.1
2010-04-26 00:00:00, 0.0, 15.2, 8.4
2010-04-27 00:00:00, 0.0, 10.0, 7.3
2010-04-28 00:00:00, 0.0, 12.5, 5.8
2010-04-29 00:00:00, 0.0, 11.3, 4.6
2010-04-30 00:00:00, 0.0, 8.3, 3.8
2010-05-01 00:00:00, 0.0, 9.4, 5.8
2010-05-02 00:00:00, 0.0, 8.2, 4.0
2010-05-03 00:00:00, 0.0, 8.7, 2.4
2010-05-04 00:00:00, 0.0, 11.1, 4.2
2010-05-05 00:00:00, 0.0, 11.3, 4.1
2010-05-06 00:00:00, 0.0, 11.6, 4.4
2010-05-07 00:00:00, 0.0, 11.9, 3.4
2010-05-08 00:00:00, 0.0, 11.9, 3.7
2010-05-09 00:00:00, 0.0, 12.1, 6.2
2010-05-10 00:00:00, 0.0, 12.1, 3.7
2010-05-11 00:00:00, None, 11.7, 6.2
2010-05-12 00:00:00, 5.0, 10.5, 7.6
2010-05-13 00:00:00, 0.0, 13.2, 7.2
2010-05-14 00:00:00, 0.0, 13.3, 4.4
2010-05-15 00:00:00, 9.5, 10.2, 7.5
2010-05-16 00:00:00, 0.0, 13.9, 6.8
2010-05-17 00:00:00, 0.5, 15.6, 8.5
2010-05-18 00:00:00, 7.5, 14.4, 10.0
2010-05-19 00:00:00, 1.0, 14.9, 8.7
2010-05-20 00:00:00, 3.5, 13.5, 7.6
2010-05-21 00:00:00, 0.0, 10.7, 4.1
2010-05-22 00:00:00, 0.5, 12.7, 6.5
2010-05-23 00:00:00, 1.0, 11.4, 7.2
2010-05-24 00:00:00, 0.5, 13.6, 7.6
2010-05-25 00:00:00, 6.5, 15.7, 8.3
2010-05-26 00:00:00, 1.0, 23.8, 6.7
2010-05-27 00:00:00, 0.0, 16.9, 11.1
2010-05-28 00:00:00, 0.0, 13.5, 8.9
2010-05-29 00:00:00, 0.0, 14.0, 8.6
2010-05-30 00:00:00, 0.0, 16.3, 10.4
2010-05-31 00:00:00, 0.0, 15.3, 10.7
2010-06-01 00:00:00, 0.5, 16.1, 10.3
2010-06-02 00:00:00, 5.0, 14.5, 9.1
2010-06-03 00:00:00, 0.5, 12.9, 8.1
2010-06-04 00:00:00, 1.5, 15.5, 7.9
2010-06-05 00:00:00, 2.5, 15.1, 9.0
2010-06-06 00:00:00, 0.0, 16.8, 6.2
2010-06-07 00:00:00, 0.0, 13.7, 9.9
2010-06-08 00:00:00, 0.0, 14.9, 9.7
